epoch	loss	psnr	ssim	time_s	lr
0	0.007478	27.270302	0.797639	107.89	0.00020000
1	0.002253	28.546202	0.834100	78.68	0.00019995
2	0.001750	29.507669	0.852846	85.52	0.00019980
3	0.001426	29.864969	0.859630	79.12	0.00019955
4	0.001392	30.165961	0.860818	84.95	0.00019920
5	0.001351	30.805218	0.866365	77.28	0.00019875
6	0.001218	31.029735	0.870446	78.24	0.00019820
7	0.001173	31.409820	0.872232	84.95	0.00019756
8	0.001120	31.635871	0.869897	81.22	0.00019681
9	0.001011	31.716799	0.873230	91.29	0.00019597
10	0.001066	31.738502	0.876766	84.28	0.00019503
11	0.000963	32.113519	0.882457	87.12	0.00019400
12	0.001041	29.492650	0.884694	88.22	0.00019287
13	0.000987	32.008628	0.880790	85.70	0.00019165
14	0.000906	32.159423	0.883107	85.25	0.00019034
15	0.000916	32.451114	0.887171	83.31	0.00018894
16	0.000845	32.253111	0.886896	84.78	0.00018745
17	0.000848	32.426503	0.888177	86.58	0.00018587
18	0.000839	32.096582	0.891365	84.44	0.00018420
19	0.000883	31.658778	0.886416	88.88	0.00018246
20	0.000828	32.544404	0.890734	86.14	0.00018062
21	0.000772	32.556522	0.893642	82.60	0.00017871
22	0.000783	31.806861	0.895277	83.67	0.00017672
23	0.000777	32.998680	0.896366	90.02	0.00017465
24	0.000772	33.046506	0.896795	88.11	0.00017251
25	0.000836	31.715216	0.897541	74.14	0.00017030
26	0.000732	33.046760	0.896932	83.62	0.00016801
27	0.000720	33.070014	0.901719	86.51	0.00016566
28	0.000737	32.823302	0.898299	81.81	0.00016324
29	0.000720	31.767793	0.903441	85.12	0.00016076
30	0.000716	33.354222	0.902479	89.95	0.00015822
31	0.000712	33.175690	0.905350	79.20	0.00015562
32	0.000690	33.470690	0.903139	90.54	0.00015296
33	0.000692	33.416687	0.906998	78.51	0.00015025
34	0.000663	33.294836	0.899735	77.90	0.00014749
35	0.000691	33.069236	0.905234	90.72	0.00014468
36	0.000669	33.176295	0.905446	79.10	0.00014183
37	0.000684	33.679121	0.907528	84.99	0.00013894
38	0.000658	32.886736	0.903833	85.93	0.00013601
39	0.000631	33.637397	0.904615	83.52	0.00013304
40	0.000652	33.365657	0.902747	84.59	0.00013004
41	0.000652	33.610583	0.908879	90.42	0.00012701
42	0.000630	33.728148	0.909909	87.20	0.00012396
43	0.000616	33.419107	0.907441	90.69	0.00012088
44	0.000625	33.513861	0.910625	85.85	0.00011778
45	0.000632	33.870182	0.908392	79.68	0.00011466
46	0.000600	33.696908	0.904793	85.80	0.00011153
47	0.000618	33.853537	0.913279	88.34	0.00010839
48	0.000583	33.899624	0.907965	85.93	0.00010523
49	0.000570	34.082985	0.915180	80.13	0.00010208
50	0.000569	33.844368	0.912896	86.00	0.00009892
51	0.000554	34.184342	0.914328	85.09	0.00009577
52	0.000576	34.084768	0.914847	82.63	0.00009261
53	0.000557	34.045488	0.915146	89.00	0.00008947
54	0.000559	33.952408	0.915302	84.24	0.00008634
55	0.000561	34.281768	0.915207	82.23	0.00008322
56	0.000549	34.174933	0.911236	86.95	0.00008012
57	0.000548	34.218367	0.913061	79.54	0.00007704
58	0.000510	34.116218	0.916972	85.57	0.00007399
59	0.000549	34.024822	0.915122	84.15	0.00007096
60	0.000496	34.378006	0.916968	87.11	0.00006796
61	0.000515	34.324417	0.918336	79.00	0.00006499
62	0.000541	34.446799	0.917235	82.06	0.00006206
63	0.000514	34.439400	0.915453	86.63	0.00005917
64	0.000508	34.593198	0.918376	77.69	0.00005632
65	0.000503	34.551484	0.919207	78.11	0.00005351
66	0.000508	34.396456	0.916744	83.86	0.00005075
67	0.000512	34.481338	0.915419	79.03	0.00004804
68	0.000491	34.378741	0.917492	85.76	0.00004538
69	0.000486	34.643265	0.918719	86.85	0.00004278
70	0.000493	34.609822	0.916893	83.19	0.00004024
71	0.000478	34.734550	0.918554	90.26	0.00003776
72	0.000486	34.743897	0.919939	85.87	0.00003534
73	0.000486	34.766375	0.920645	82.97	0.00003299
74	0.000490	34.688804	0.919215	80.68	0.00003070
75	0.000473	34.790812	0.920294	86.13	0.00002849
76	0.000475	34.793669	0.920648	84.95	0.00002635
77	0.000490	34.682869	0.920294	80.16	0.00002428
78	0.000483	34.803026	0.920570	80.70	0.00002229
79	0.000464	34.847225	0.921281	85.94	0.00002038
80	0.000469	34.773305	0.919259	81.23	0.00001854
81	0.000463	34.837972	0.920852	86.95	0.00001680
82	0.000486	34.847137	0.920649	86.54	0.00001513
83	0.000490	34.921400	0.921863	85.41	0.00001355
84	0.000461	34.907493	0.921664	78.73	0.00001206
85	0.000474	34.940979	0.921842	82.41	0.00001066
86	0.000474	34.911239	0.922023	82.77	0.00000935
87	0.000477	34.939071	0.921597	80.69	0.00000813
88	0.000464	34.900404	0.921364	91.86	0.00000700
89	0.000478	34.895135	0.920783	86.12	0.00000597
90	0.000474	34.927026	0.921340	84.76	0.00000503
91	0.000465	34.925738	0.921491	85.56	0.00000419
92	0.000463	34.943195	0.921623	88.79	0.00000344
93	0.000475	34.932006	0.921223	79.01	0.00000280
94	0.000471	34.945349	0.921655	77.39	0.00000225
95	0.000466	34.946255	0.921660	88.38	0.00000180
96	0.000454	34.950614	0.921572	83.17	0.00000145
97	0.000467	34.950673	0.921441	80.53	0.00000120
98	0.000464	34.954319	0.921553	81.13	0.00000105
99	0.000464	34.952087	0.921561	81.59	0.00000100
