epoch	loss	psnr	ssim	time_s	lr	crop_mode	crop_size	batch_size
0	0.007785	26.828124	0.812674	105.21	0.00020000	random	96x192,192x384,384x768	1
1	0.002150	26.784208	0.830661	80.05	0.00020000	random	96x192,192x384,384x768	1
2	0.001813	29.967058	0.856775	79.07	0.00020000	random	96x192,192x384,384x768	1
3	0.001463	30.392363	0.863198	86.44	0.00020000	random	96x192,192x384,384x768	1
4	0.001337	29.942013	0.867254	76.58	0.00019999	random	96x192,192x384,384x768	1
5	0.001333	30.658319	0.867618	69.12	0.00019999	random	96x192,192x384,384x768	1
6	0.001206	30.944647	0.871247	74.75	0.00019998	random	96x192,192x384,384x768	1
7	0.001177	30.646216	0.871121	80.39	0.00019998	random	96x192,192x384,384x768	1
8	0.001094	29.734953	0.861296	76.16	0.00019997	random	96x192,192x384,384x768	1
9	0.001078	31.279737	0.873031	72.21	0.00019996	random	96x192,192x384,384x768	1
10	0.001038	30.364024	0.872991	76.07	0.00019995	random	96x192,192x384,384x768	1
11	0.001094	31.311018	0.877678	76.99	0.00019994	random	96x192,192x384,384x768	1
