epoch	loss	psnr	ssim	time_s	lr	crop_mode	crop_size	batch_size
0	0.009514	26.526468	0.787675	107.56	0.00020000	random	96x192,192x384,384x768	1
1	0.002280	29.259093	0.840188	81.17	0.00019995	random	96x192,192x384,384x768	1
2	0.001753	30.118494	0.857855	80.45	0.00019980	random	96x192,192x384,384x768	1
3	0.001475	30.361221	0.864652	77.34	0.00019955	random	96x192,192x384,384x768	1
4	0.001279	30.879430	0.868355	80.97	0.00019920	random	96x192,192x384,384x768	1
5	0.001174	30.635772	0.869213	83.41	0.00019875	random	96x192,192x384,384x768	1
6	0.001276	30.226936	0.870290	82.47	0.00019820	random	96x192,192x384,384x768	1
7	0.001114	30.475923	0.857917	83.65	0.00019756	random	96x192,192x384,384x768	1
8	0.001093	31.532042	0.880970	79.84	0.00019681	random	96x192,192x384,384x768	1
9	0.001030	31.610859	0.884293	83.80	0.00019597	random	96x192,192x384,384x768	1
10	0.000994	31.222514	0.880763	81.49	0.00019503	random	96x192,192x384,384x768	1
11	0.000981	32.089647	0.882596	91.71	0.00019400	random	96x192,192x384,384x768	1
12	0.000898	32.122329	0.884404	88.86	0.00019287	random	96x192,192x384,384x768	1
13	0.000893	30.720902	0.887002	88.97	0.00019165	random	96x192,192x384,384x768	1
14	0.000988	31.153663	0.891247	73.58	0.00019034	random	96x192,192x384,384x768	1
15	0.000923	30.379661	0.886604	84.10	0.00018894	random	96x192,192x384,384x768	1
16	0.000887	31.699788	0.887310	79.77	0.00018745	random	96x192,192x384,384x768	1
17	0.000868	32.572853	0.892327	83.88	0.00018587	random	96x192,192x384,384x768	1
18	0.000868	32.195094	0.889669	73.09	0.00018420	random	96x192,192x384,384x768	1
19	0.000843	32.447090	0.888925	84.32	0.00018246	random	96x192,192x384,384x768	1
20	0.000806	32.681820	0.889735	85.83	0.00018062	random	96x192,192x384,384x768	1
21	0.000859	30.804042	0.885178	75.04	0.00017871	random	96x192,192x384,384x768	1
22	0.000834	32.211450	0.894112	78.94	0.00017672	random	96x192,192x384,384x768	1
23	0.000793	32.489625	0.893397	79.04	0.00017465	random	96x192,192x384,384x768	1
24	0.000785	31.987645	0.892480	76.91	0.00017251	random	96x192,192x384,384x768	1
25	0.000785	32.560999	0.896322	81.42	0.00017030	random	96x192,192x384,384x768	1
26	0.000795	32.879720	0.898971	85.91	0.00016801	random	96x192,192x384,384x768	1
27	0.000764	32.486597	0.896869	82.18	0.00016566	random	96x192,192x384,384x768	1
28	0.000762	32.930144	0.897731	82.98	0.00016324	random	96x192,192x384,384x768	1
29	0.000720	32.740189	0.897458	88.46	0.00016076	random	96x192,192x384,384x768	1
30	0.000708	32.907664	0.897181	91.07	0.00015822	random	96x192,192x384,384x768	1
31	0.000737	32.594705	0.898822	84.24	0.00015562	random	96x192,192x384,384x768	1
32	0.000688	33.277050	0.901134	79.41	0.00015296	random	96x192,192x384,384x768	1
33	0.000706	33.029648	0.904823	76.75	0.00015025	random	96x192,192x384,384x768	1
34	0.000652	32.534724	0.906018	79.09	0.00014749	random	96x192,192x384,384x768	1
35	0.000685	33.175720	0.903099	76.50	0.00014468	random	96x192,192x384,384x768	1
36	0.000638	33.527660	0.907965	84.65	0.00014183	random	96x192,192x384,384x768	1
37	0.000657	33.316304	0.909900	83.64	0.00013894	random	96x192,192x384,384x768	1
38	0.000632	33.714918	0.908856	90.75	0.00013601	random	96x192,192x384,384x768	1
39	0.000606	33.363421	0.911745	86.84	0.00013304	random	96x192,192x384,384x768	1
40	0.000610	33.733748	0.906762	78.23	0.00013004	random	96x192,192x384,384x768	1
41	0.000581	33.854184	0.910843	81.04	0.00012701	random	96x192,192x384,384x768	1
42	0.000579	33.831227	0.914257	77.63	0.00012396	random	96x192,192x384,384x768	1
43	0.000568	34.156246	0.915445	86.41	0.00012088	random	96x192,192x384,384x768	1
44	0.000585	33.544664	0.911490	80.40	0.00011778	random	96x192,192x384,384x768	1
45	0.000533	33.908871	0.910606	86.91	0.00011466	random	96x192,192x384,384x768	1
46	0.000578	33.764993	0.913568	77.25	0.00011153	random	96x192,192x384,384x768	1
47	0.000570	34.036831	0.913689	83.84	0.00010839	random	96x192,192x384,384x768	1
48	0.000525	34.242117	0.919310	88.93	0.00010523	random	96x192,192x384,384x768	1
49	0.000527	34.312232	0.917677	86.14	0.00010208	random	96x192,192x384,384x768	1
50	0.000556	34.434800	0.921112	90.66	0.00009892	random	96x192,192x384,384x768	1
51	0.000517	34.179306	0.919284	84.87	0.00009577	random	96x192,192x384,384x768	1
52	0.000515	34.049198	0.918200	77.48	0.00009261	random	96x192,192x384,384x768	1
53	0.000524	34.264229	0.919873	87.57	0.00008947	random	96x192,192x384,384x768	1
54	0.000484	34.246583	0.922019	86.78	0.00008634	random	96x192,192x384,384x768	1
55	0.000496	34.417613	0.917828	86.90	0.00008322	random	96x192,192x384,384x768	1
56	0.000483	34.464857	0.920829	82.96	0.00008012	random	96x192,192x384,384x768	1
57	0.000487	34.491583	0.921462	92.42	0.00007704	random	96x192,192x384,384x768	1
58	0.000500	34.463772	0.920010	81.52	0.00007399	random	96x192,192x384,384x768	1
59	0.000484	34.395252	0.922679	80.51	0.00007096	random	96x192,192x384,384x768	1
60	0.000479	34.618224	0.923110	88.08	0.00006796	random	96x192,192x384,384x768	1
61	0.000494	34.623385	0.921727	76.93	0.00006499	random	96x192,192x384,384x768	1
62	0.000488	34.813407	0.923269	81.48	0.00006206	random	96x192,192x384,384x768	1
63	0.000485	34.642570	0.923268	89.59	0.00005917	random	96x192,192x384,384x768	1
64	0.000456	34.878769	0.923008	83.18	0.00005632	random	96x192,192x384,384x768	1
65	0.000477	34.793583	0.920938	74.75	0.00005351	random	96x192,192x384,384x768	1
66	0.000480	34.666093	0.922022	84.36	0.00005075	random	96x192,192x384,384x768	1
67	0.000453	34.746710	0.924175	88.02	0.00004804	random	96x192,192x384,384x768	1
68	0.000470	34.784426	0.922753	81.99	0.00004538	random	96x192,192x384,384x768	1
69	0.000458	34.868102	0.921000	87.63	0.00004278	random	96x192,192x384,384x768	1
70	0.000468	34.989015	0.923438	78.28	0.00004024	random	96x192,192x384,384x768	1
71	0.000460	34.995419	0.924685	82.91	0.00003776	random	96x192,192x384,384x768	1
72	0.000461	34.942188	0.925032	85.87	0.00003534	random	96x192,192x384,384x768	1
73	0.000442	35.014548	0.924235	88.23	0.00003299	random	96x192,192x384,384x768	1
74	0.000453	34.970378	0.924765	86.81	0.00003070	random	96x192,192x384,384x768	1
