epoch	loss	psnr	ssim	time_s	lr
0	0.009463	26.869865	0.793272	84.96	0.00020000
1	0.002612	28.588061	0.837555	60.45	0.00019995
2	0.001866	28.116936	0.842778	63.92	0.00019980
3	0.001638	29.658302	0.848129	61.88	0.00019955
4	0.001364	29.451537	0.861222	69.60	0.00019920
5	0.001414	30.059927	0.856148	62.46	0.00019875
6	0.001349	30.565162	0.866173	61.14	0.00019820
7	0.001206	30.552863	0.864509	62.47	0.00019756
8	0.001275	28.733160	0.867179	61.49	0.00019681
9	0.001169	31.080076	0.876977	67.20	0.00019597
10	0.001168	30.777251	0.876503	56.79	0.00019503
11	0.001064	31.607357	0.873388	62.63	0.00019400
12	0.000992	30.569664	0.873805	64.20	0.00019287
13	0.001034	31.025848	0.880035	60.25	0.00019165
14	0.000985	30.393064	0.879565	61.82	0.00019034
15	0.000990	32.203002	0.886623	67.43	0.00018894
16	0.000940	31.712044	0.884532	66.20	0.00018745
17	0.000875	32.253703	0.889764	61.41	0.00018587
18	0.000945	31.626489	0.886073	61.61	0.00018420
19	0.000938	31.410912	0.890603	63.06	0.00018246
20	0.000850	32.590210	0.891946	59.74	0.00018062
21	0.000863	32.727302	0.892472	62.84	0.00017871
22	0.000896	30.540728	0.892997	64.37	0.00017672
23	0.000923	28.506933	0.893082	59.10	0.00017465
24	0.000828	31.448719	0.892123	63.11	0.00017251
25	0.000841	32.649181	0.894447	63.54	0.00017030
26	0.000795	31.925146	0.895635	62.95	0.00016801
27	0.000815	32.724643	0.894078	66.60	0.00016566
28	0.000786	32.746282	0.897604	61.00	0.00016324
29	0.000760	32.819934	0.898967	63.34	0.00016076
30	0.000737	32.720190	0.897122	62.17	0.00015822
31	0.000746	32.222956	0.900888	67.85	0.00015562
32	0.000757	33.021699	0.903227	62.15	0.00015296
33	0.000752	33.313044	0.903072	59.72	0.00015025
34	0.000702	32.919243	0.900483	64.22	0.00014749
35	0.000702	33.303966	0.902765	61.19	0.00014468
36	0.000775	33.181111	0.903857	56.62	0.00014183
37	0.000737	33.141614	0.902779	62.03	0.00013894
38	0.000717	32.907441	0.896737	57.80	0.00013601
39	0.000729	32.661075	0.903817	62.76	0.00013304
40	0.000703	33.045795	0.899662	62.29	0.00013004
41	0.000721	33.244535	0.905744	61.68	0.00012701
42	0.000668	33.019611	0.903289	64.22	0.00012396
43	0.000663	33.298896	0.904441	61.89	0.00012088
44	0.000653	33.021003	0.903457	58.05	0.00011778
45	0.000667	32.938960	0.902995	64.58	0.00011466
46	0.000684	32.924169	0.903443	71.32	0.00011153
47	0.000662	33.474687	0.905741	62.46	0.00010839
48	0.000652	33.530894	0.902940	61.27	0.00010523
49	0.000642	33.342950	0.907450	61.10	0.00010208
50	0.000628	33.242209	0.908141	63.87	0.00009892
51	0.000643	33.678492	0.911306	63.90	0.00009577
52	0.000652	33.324662	0.909144	64.98	0.00009261
53	0.000602	33.762314	0.907150	68.85	0.00008947
54	0.000613	33.570474	0.907666	64.96	0.00008634
55	0.000592	33.358972	0.913164	61.78	0.00008322
56	0.000614	34.001112	0.912721	64.57	0.00008012
57	0.000596	33.999665	0.913241	64.38	0.00007704
58	0.000610	33.486783	0.910720	61.93	0.00007399
59	0.000599	33.907380	0.909745	59.89	0.00007096
60	0.000595	34.010546	0.911157	64.43	0.00006796
61	0.000581	33.875672	0.913745	59.81	0.00006499
62	0.000594	33.941937	0.912604	62.49	0.00006206
63	0.000570	34.063509	0.912457	63.55	0.00005917
64	0.000576	33.937229	0.914726	60.53	0.00005632
65	0.000594	34.000775	0.909986	57.57	0.00005351
66	0.000593	34.133861	0.911237	56.66	0.00005075
67	0.000565	34.196595	0.915441	63.81	0.00004804
68	0.000572	34.129567	0.912668	61.56	0.00004538
69	0.000543	33.959297	0.909732	65.34	0.00004278
70	0.000574	34.090504	0.913910	64.29	0.00004024
71	0.000534	34.114798	0.911851	58.92	0.00003776
72	0.000557	34.260991	0.914064	61.12	0.00003534
73	0.000560	34.322818	0.915007	61.52	0.00003299
74	0.000548	34.358909	0.915747	64.54	0.00003070
75	0.000540	34.333751	0.913963	60.42	0.00002849
76	0.000541	34.268667	0.915501	62.01	0.00002635
77	0.000541	34.240946	0.914307	64.20	0.00002428
78	0.000536	34.319645	0.914779	59.06	0.00002229
79	0.000546	34.342964	0.913578	62.88	0.00002038
80	0.000523	34.296572	0.913546	61.42	0.00001854
81	0.000517	34.388549	0.915787	67.30	0.00001680
82	0.000522	34.335507	0.915715	60.24	0.00001513
83	0.000539	34.435018	0.916057	64.07	0.00001355
84	0.000534	34.402603	0.914874	61.93	0.00001206
85	0.000519	34.339144	0.913715	62.76	0.00001066
86	0.000539	34.344487	0.913672	63.87	0.00000935
87	0.000510	34.403381	0.915686	60.46	0.00000813
88	0.000512	34.415318	0.915376	65.70	0.00000700
89	0.000513	34.407022	0.915247	65.34	0.00000597
90	0.000519	34.406702	0.915261	60.31	0.00000503
91	0.000524	34.396748	0.915312	62.87	0.00000419
92	0.000530	34.425720	0.915926	61.99	0.00000344
93	0.000512	34.432687	0.916176	57.37	0.00000280
94	0.000534	34.420306	0.916043	63.85	0.00000225
95	0.000523	34.433507	0.915900	61.85	0.00000180
96	0.000528	34.437187	0.916224	62.78	0.00000145
97	0.000534	34.442122	0.916287	62.92	0.00000120
98	0.000536	34.443759	0.916160	61.19	0.00000105
99	0.000533	34.444108	0.916266	61.92	0.00000100
