epoch	loss	psnr	ssim	time_s	lr
0	0.009865	26.754905	0.774143	94.53	0.00020000
1	0.002249	28.117469	0.833786	70.76	0.00020000
2	0.001724	29.308446	0.847966	73.49	0.00020000
3	0.001501	30.335962	0.858376	71.20	0.00020000
4	0.001365	30.669945	0.864281	74.42	0.00019999
5	0.001281	30.700748	0.865099	69.86	0.00019999
6	0.001220	30.711786	0.868178	71.80	0.00019998
7	0.001113	30.626054	0.873781	72.55	0.00019998
8	0.001175	31.210490	0.874869	75.64	0.00019997
9	0.001042	31.659756	0.878713	68.85	0.00019996
10	0.001104	30.597636	0.863500	71.11	0.00019995
11	0.000982	30.676912	0.880545	68.99	0.00019994
12	0.000951	31.435581	0.879356	74.39	0.00019993
13	0.000968	31.615823	0.881855	71.65	0.00019992
14	0.000892	31.963773	0.884894	66.69	0.00019990
15	0.000898	32.083612	0.886181	77.15	0.00019989
16	0.000934	31.764365	0.886884	72.79	0.00019987
17	0.000845	31.780848	0.889078	69.90	0.00019986
18	0.000846	32.455857	0.888696	68.59	0.00019984
19	0.000830	32.099450	0.889332	76.96	0.00019982
20	0.000859	32.129662	0.889201	75.35	0.00019980
21	0.000891	32.922687	0.896758	68.09	0.00019978
22	0.000863	31.871674	0.884039	73.78	0.00019976
23	0.000825	32.655999	0.893578	73.72	0.00019974
24	0.000796	32.855178	0.897206	70.64	0.00019972
25	0.000772	31.946449	0.898910	73.41	0.00019969
26	0.000768	33.195087	0.901911	71.82	0.00019967
27	0.000743	33.068057	0.902736	79.27	0.00019964
28	0.000777	32.852537	0.901606	73.05	0.00019961
29	0.000747	32.781915	0.898991	79.14	0.00019959
30	0.000702	33.202672	0.902006	76.43	0.00019956
31	0.000761	33.154868	0.901643	77.49	0.00019953
32	0.000700	32.942829	0.900765	66.96	0.00019950
33	0.000758	32.762152	0.905565	68.55	0.00019946
34	0.000700	33.388411	0.905312	71.90	0.00019943
35	0.000691	33.247984	0.900439	80.39	0.00019940
36	0.000706	31.627491	0.898421	78.30	0.00019936
37	0.000727	33.349919	0.905061	72.88	0.00019933
38	0.000665	33.350805	0.902337	70.19	0.00019929
39	0.000669	33.232234	0.902381	76.04	0.00019925
40	0.000673	33.236363	0.907225	73.91	0.00019921
41	0.000681	33.165862	0.907062	71.56	0.00019917
42	0.000643	33.630441	0.907475	77.56	0.00019913
43	0.000649	33.234400	0.904344	68.69	0.00019909
44	0.000711	33.704483	0.906626	74.54	0.00019905
45	0.000614	33.019557	0.905746	75.63	0.00019901
46	0.000619	33.754286	0.911469	72.10	0.00019896
47	0.000632	33.654156	0.912886	73.40	0.00019892
48	0.000621	33.165264	0.907658	75.66	0.00019887
49	0.000606	32.751946	0.910296	70.65	0.00019882
50	0.000623	34.046859	0.911009	71.32	0.00019877
51	0.000601	33.707371	0.912799	70.16	0.00019872
52	0.000578	33.707910	0.910189	65.67	0.00019867
53	0.000577	33.719290	0.909947	72.06	0.00019862
54	0.000639	32.995506	0.906699	67.38	0.00019857
55	0.000591	33.637462	0.909650	76.42	0.00019852
56	0.000547	33.720823	0.916401	76.17	0.00019846
57	0.000584	34.144306	0.916767	67.90	0.00019841
58	0.000609	33.864001	0.915693	68.37	0.00019835
59	0.000548	34.134299	0.916019	73.54	0.00019829
60	0.000544	34.033902	0.918795	70.61	0.00019823
61	0.000552	33.573358	0.918043	68.21	0.00019817
62	0.000543	34.165998	0.919294	75.12	0.00019811
63	0.000547	34.401163	0.921628	70.55	0.00019805
64	0.000515	34.057370	0.919664	74.35	0.00019799
65	0.000545	34.470250	0.924525	73.35	0.00019793
66	0.000516	33.666869	0.920811	67.38	0.00019786
67	0.000525	34.197757	0.917392	69.72	0.00019780
68	0.000514	34.502673	0.922134	79.73	0.00019773
69	0.000506	34.452042	0.920219	72.13	0.00019767
70	0.000503	34.484695	0.919843	75.38	0.00019760
71	0.000513	34.576394	0.922344	73.61	0.00019753
72	0.000512	34.594271	0.923560	78.74	0.00019746
73	0.000482	34.468194	0.921790	74.25	0.00019739
74	0.000498	34.493571	0.920121	68.66	0.00019732
75	0.000518	34.794791	0.922847	72.59	0.00019725
76	0.000512	34.614486	0.921715	75.24	0.00019717
77	0.000489	33.315474	0.923037	69.33	0.00019710
78	0.000464	34.771673	0.926582	76.48	0.00019702
79	0.000473	34.088425	0.925672	74.63	0.00019695
80	0.000479	34.036649	0.924874	72.31	0.00019687
81	0.000493	34.822413	0.925897	68.68	0.00019679
82	0.000460	34.382525	0.924074	74.30	0.00019671
