epoch	loss	psnr	ssim	time_s	lr
0	0.008306	26.058292	0.820288	123.33	0.00020000
1	0.002344	28.187926	0.834911	102.85	0.00019995
2	0.001709	29.685450	0.853248	100.05	0.00019980
3	0.001640	30.251681	0.859527	93.35	0.00019955
4	0.001390	29.807281	0.854741	94.63	0.00019920
5	0.001340	30.790916	0.863916	96.33	0.00019875
6	0.001324	31.050089	0.869244	94.67	0.00019820
7	0.001144	31.540134	0.875913	101.88	0.00019756
8	0.001155	31.280590	0.877476	99.82	0.00019681
9	0.001078	31.488676	0.876897	97.19	0.00019597
10	0.001059	31.357097	0.877947	97.89	0.00019503
11	0.001035	30.166350	0.878545	90.00	0.00019400
12	0.001009	32.102998	0.885275	101.10	0.00019287
13	0.000970	31.970643	0.883681	86.90	0.00019165
14	0.001033	31.340318	0.882975	89.04	0.00019034
15	0.000921	31.904898	0.882035	93.08	0.00018894
16	0.000910	32.128928	0.887789	90.35	0.00018745
17	0.000863	32.228162	0.887109	91.37	0.00018587
18	0.000904	32.121651	0.886805	91.47	0.00018420
19	0.000867	32.246323	0.890513	91.92	0.00018246
20	0.000862	31.453418	0.893890	87.51	0.00018062
21	0.000809	32.841471	0.895369	98.67	0.00017871
22	0.000827	32.468910	0.891138	97.34	0.00017672
23	0.000792	32.644325	0.893433	97.79	0.00017465
24	0.000785	32.403888	0.894170	98.05	0.00017251
25	0.000792	32.217643	0.893534	94.56	0.00017030
26	0.000754	32.768242	0.895703	102.90	0.00016801
27	0.000732	32.517750	0.898759	95.11	0.00016566
28	0.000745	33.028258	0.900031	95.20	0.00016324
29	0.000752	32.669395	0.898466	91.02	0.00016076
30	0.000693	32.758863	0.899940	101.72	0.00015822
31	0.000701	32.947313	0.898972	107.95	0.00015562
32	0.000743	33.320477	0.900846	94.09	0.00015296
33	0.000658	33.304405	0.903966	100.23	0.00015025
34	0.000670	31.683326	0.904235	93.22	0.00014749
35	0.000734	33.161551	0.903409	87.23	0.00014468
36	0.000706	33.396193	0.903661	92.90	0.00014183
37	0.000613	33.585399	0.907487	90.92	0.00013894
38	0.000661	33.639605	0.906727	91.79	0.00013601
39	0.000636	33.571741	0.904774	91.73	0.00013304
40	0.000688	33.146530	0.907504	93.43	0.00013004
41	0.000632	33.583825	0.909990	97.08	0.00012701
42	0.000603	33.659959	0.910369	101.59	0.00012396
43	0.000601	33.145778	0.908874	84.73	0.00012088
44	0.000622	33.868152	0.909109	96.66	0.00011778
45	0.000574	33.899277	0.914757	91.64	0.00011466
46	0.000589	33.668766	0.912591	93.41	0.00011153
47	0.000580	33.642428	0.912311	96.27	0.00010839
48	0.000545	34.054578	0.912350	93.41	0.00010523
49	0.000567	34.002691	0.911982	96.42	0.00010208
50	0.000548	33.958932	0.910823	97.73	0.00009892
51	0.000533	33.847893	0.911325	106.74	0.00009577
52	0.000550	34.285027	0.916068	99.13	0.00009261
53	0.000535	34.253459	0.915811	101.97	0.00008947
54	0.000529	34.237528	0.916672	97.82	0.00008634
55	0.000525	34.272501	0.919550	101.15	0.00008322
56	0.000531	34.327409	0.915379	89.22	0.00008012
57	0.000531	34.415085	0.918762	95.99	0.00007704
58	0.000524	34.273868	0.917521	95.25	0.00007399
59	0.000504	34.251920	0.917397	86.97	0.00007096
60	0.000512	34.532850	0.918208	91.34	0.00006796
61	0.000500	34.422037	0.918732	83.81	0.00006499
62	0.000510	34.482761	0.918624	96.76	0.00006206
63	0.000493	34.568823	0.917156	91.85	0.00005917
64	0.000520	34.345501	0.918362	89.52	0.00005632
65	0.000499	34.525601	0.919483	95.22	0.00005351
66	0.000483	34.668883	0.920987	90.91	0.00005075
67	0.000488	34.666851	0.920601	98.79	0.00004804
68	0.000492	34.716856	0.920390	90.95	0.00004538
69	0.000495	34.720862	0.921092	98.12	0.00004278
70	0.000490	34.712288	0.920196	87.87	0.00004024
71	0.000470	34.817196	0.922072	101.05	0.00003776
72	0.000481	34.795974	0.920988	92.74	0.00003534
73	0.000470	34.794131	0.920641	100.53	0.00003299
74	0.000472	34.732676	0.919042	97.08	0.00003070
75	0.000471	34.814715	0.921323	93.22	0.00002849
76	0.000468	34.818518	0.921421	90.70	0.00002635
77	0.000470	34.907976	0.922646	92.23	0.00002428
78	0.000482	34.865372	0.922012	95.97	0.00002229
79	0.000470	34.819182	0.920918	92.90	0.00002038
80	0.000475	34.924274	0.923336	93.00	0.00001854
81	0.000471	34.864896	0.921126	103.38	0.00001680
82	0.000449	34.940152	0.922546	91.63	0.00001513
83	0.000468	34.963543	0.922720	93.47	0.00001355
84	0.000458	34.965009	0.922584	89.09	0.00001206
85	0.000452	34.985544	0.922768	97.58	0.00001066
86	0.000458	34.926886	0.922363	99.11	0.00000935
87	0.000459	34.993292	0.922716	85.48	0.00000813
88	0.000472	34.998404	0.923172	90.76	0.00000700
89	0.000471	34.997601	0.923248	98.65	0.00000597
90	0.000451	34.996346	0.922854	101.27	0.00000503
91	0.000463	34.991618	0.922482	90.49	0.00000419
92	0.000457	34.982255	0.922325	96.72	0.00000344
93	0.000448	34.999873	0.922692	102.94	0.00000280
94	0.000474	35.006736	0.922615	97.01	0.00000225
95	0.000460	35.002752	0.922627	96.79	0.00000180
96	0.000466	34.992196	0.922670	96.54	0.00000145
97	0.000447	35.007346	0.922641	101.00	0.00000120
98	0.000460	35.001013	0.922691	86.02	0.00000105
99	0.000461	34.997983	0.922586	94.69	0.00000100
