epoch	loss	psnr	ssim	time_s	lr	crop_mode	crop_size	batch_size
0	0.006480	27.754696	0.828386	75.58	0.00020000	random	96x192,192x384,384x768	1
1	0.002124	28.880562	0.843592	66.84	0.00020000	random	96x192,192x384,384x768	1
2	0.001560	30.118534	0.855685	67.98	0.00020000	random	96x192,192x384,384x768	1
3	0.001359	30.557385	0.858538	68.16	0.00020000	random	96x192,192x384,384x768	1
4	0.001220	30.763214	0.867354	73.24	0.00019999	random	96x192,192x384,384x768	1
5	0.001111	31.379708	0.871247	71.30	0.00019999	random	96x192,192x384,384x768	1
6	0.001034	31.909522	0.874180	78.74	0.00019998	random	96x192,192x384,384x768	1
7	0.001103	31.329348	0.870911	69.08	0.00019998	random	96x192,192x384,384x768	1
8	0.001037	31.055902	0.872213	71.70	0.00019997	random	96x192,192x384,384x768	1
9	0.001315	31.525684	0.871103	71.28	0.00019996	random	96x192,192x384,384x768	1
10	0.001019	31.597913	0.877184	69.09	0.00019995	random	96x192,192x384,384x768	1
