epoch	loss	psnr	ssim	time_s	lr	crop_mode	crop_size	batch_size
0	0.000200	38.714642	0.959087	181.29	0.00005000	random	192x384,384x768	1
1	0.000203	38.725924	0.959049	156.34	0.00004999	random	192x384,384x768	1
2	0.000207	38.804188	0.958588	149.06	0.00004996	random	192x384,384x768	1
3	0.000207	38.825000	0.958869	151.41	0.00004991	random	192x384,384x768	1
4	0.000199	38.932139	0.959586	150.58	0.00004984	random	192x384,384x768	1
5	0.000198	38.893934	0.959420	145.99	0.00004975	random	192x384,384x768	1
6	0.000197	38.833732	0.959156	146.72	0.00004964	random	192x384,384x768	1
7	0.000200	38.822977	0.959462	148.65	0.00004951	random	192x384,384x768	1
8	0.000201	38.848021	0.959625	150.13	0.00004936	random	192x384,384x768	1
9	0.000200	38.617475	0.959447	151.14	0.00004919	random	192x384,384x768	1
10	0.000199	38.872575	0.958855	151.70	0.00004900	random	192x384,384x768	1
11	0.000200	38.916998	0.959792	151.80	0.00004879	random	192x384,384x768	1
12	0.000207	38.923936	0.959431	151.88	0.00004857	random	192x384,384x768	1
13	0.000201	38.814880	0.959252	153.15	0.00004832	random	192x384,384x768	1
14	0.000199	38.897040	0.959342	158.39	0.00004806	random	192x384,384x768	1
15	0.000198	38.791163	0.959457	145.52	0.00004778	random	192x384,384x768	1
16	0.000203	38.843741	0.959373	149.25	0.00004748	random	192x384,384x768	1
17	0.000204	38.792448	0.959380	153.67	0.00004716	random	192x384,384x768	1
18	0.000199	38.922995	0.959921	156.00	0.00004683	random	192x384,384x768	1
19	0.000194	38.868472	0.959715	155.54	0.00004647	random	192x384,384x768	1
20	0.000201	38.790867	0.959368	143.43	0.00004611	random	192x384,384x768	1
21	0.000198	38.883417	0.959718	150.67	0.00004572	random	192x384,384x768	1
22	0.000198	38.961063	0.959991	153.30	0.00004532	random	192x384,384x768	1
23	0.000195	38.948855	0.959755	156.56	0.00004491	random	192x384,384x768	1
24	0.000200	39.013144	0.959879	154.37	0.00004447	random	192x384,384x768	1
25	0.000200	38.989304	0.960033	156.75	0.00004403	random	192x384,384x768	1
26	0.000201	38.984964	0.959747	150.79	0.00004357	random	192x384,384x768	1
27	0.000197	38.913913	0.959796	151.55	0.00004310	random	192x384,384x768	1
28	0.000192	38.962375	0.959733	151.70	0.00004261	random	192x384,384x768	1
29	0.000197	38.994939	0.959550	158.83	0.00004211	random	192x384,384x768	1
30	0.000196	39.008368	0.960025	154.69	0.00004160	random	192x384,384x768	1
31	0.000199	38.985636	0.959785	154.87	0.00004108	random	192x384,384x768	1
32	0.000204	38.998222	0.959736	157.15	0.00004054	random	192x384,384x768	1
33	0.000197	39.007903	0.960091	151.96	0.00004000	random	192x384,384x768	1
34	0.000199	38.970981	0.959864	157.43	0.00003945	random	192x384,384x768	1
35	0.000193	39.032121	0.960098	157.57	0.00003888	random	192x384,384x768	1
36	0.000197	39.046602	0.959979	155.83	0.00003831	random	192x384,384x768	1
37	0.000198	38.963639	0.959639	146.68	0.00003773	random	192x384,384x768	1
38	0.000197	38.979509	0.959929	148.86	0.00003714	random	192x384,384x768	1
39	0.000196	39.056671	0.959927	156.69	0.00003654	random	192x384,384x768	1
40	0.000194	39.108693	0.960025	149.98	0.00003594	random	192x384,384x768	1
41	0.000195	38.963873	0.959701	161.08	0.00003533	random	192x384,384x768	1
42	0.000197	39.090824	0.960044	155.41	0.00003472	random	192x384,384x768	1
