epoch	loss	psnr	ssim	time_s	lr
0	0.008752	25.244479	0.792462	85.09	0.00020000
1	0.002466	28.113387	0.824750	63.57	0.00019995
2	0.002093	29.354628	0.849704	62.43	0.00019980
3	0.001694	29.632219	0.852360	60.46	0.00019955
4	0.001491	30.498230	0.859227	61.25	0.00019920
5	0.001439	30.196134	0.865676	56.03	0.00019875
6	0.001260	30.259532	0.864223	59.15	0.00019820
7	0.001200	31.115922	0.866378	60.65	0.00019756
8	0.001207	30.771061	0.866568	57.00	0.00019681
9	0.001166	30.500711	0.873793	60.46	0.00019597
10	0.001066	31.099664	0.873122	67.12	0.00019503
11	0.001127	31.211197	0.877290	58.79	0.00019400
12	0.001016	31.496285	0.874590	56.33	0.00019287
13	0.001002	30.760292	0.877983	57.67	0.00019165
14	0.000992	31.832556	0.884163	59.70	0.00019034
15	0.000921	32.284112	0.883259	58.80	0.00018894
16	0.000939	30.631075	0.882522	57.94	0.00018745
17	0.000899	32.146232	0.883768	58.44	0.00018587
18	0.000906	31.763378	0.883918	57.38	0.00018420
19	0.000958	32.350235	0.884663	62.78	0.00018246
20	0.000857	32.264256	0.887318	59.96	0.00018062
21	0.000882	31.615532	0.885224	60.26	0.00017871
22	0.000852	32.591284	0.889394	60.75	0.00017672
23	0.000860	32.023457	0.890569	64.55	0.00017465
24	0.000868	32.577147	0.893378	58.46	0.00017251
25	0.000828	32.129302	0.891686	58.96	0.00017030
26	0.000779	32.880550	0.894069	58.72	0.00016801
27	0.000763	32.533987	0.895638	54.98	0.00016566
28	0.000770	32.288030	0.893356	58.93	0.00016324
29	0.000777	32.328133	0.893344	58.97	0.00016076
30	0.000770	32.782238	0.895945	61.34	0.00015822
31	0.000775	32.406986	0.900273	62.69	0.00015562
32	0.000733	32.268714	0.896603	52.16	0.00015296
33	0.000799	32.793671	0.899891	63.06	0.00015025
34	0.000708	33.444331	0.901934	58.62	0.00014749
35	0.000701	33.272625	0.903162	63.22	0.00014468
36	0.000699	33.292864	0.901910	64.48	0.00014183
37	0.000719	33.291108	0.902972	59.92	0.00013894
38	0.000670	33.337177	0.901305	62.48	0.00013601
39	0.000688	33.048719	0.900891	64.71	0.00013304
40	0.000721	33.157335	0.899914	59.52	0.00013004
41	0.000685	33.256487	0.903886	60.99	0.00012701
42	0.000704	33.240916	0.900849	54.89	0.00012396
43	0.000664	33.448677	0.905168	59.34	0.00012088
44	0.000667	33.454991	0.902781	60.77	0.00011778
45	0.000642	33.525059	0.905920	63.50	0.00011466
46	0.000645	33.570408	0.909057	63.22	0.00011153
47	0.000661	33.221781	0.905713	61.05	0.00010839
48	0.000648	33.428106	0.904065	61.52	0.00010523
49	0.000659	33.599361	0.908737	58.87	0.00010208
50	0.000628	33.359689	0.905860	64.42	0.00009892
51	0.000642	33.718400	0.910164	64.46	0.00009577
52	0.000618	33.699349	0.909637	62.29	0.00009261
53	0.000652	33.557760	0.903569	58.63	0.00008947
54	0.000600	33.575863	0.907710	55.21	0.00008634
55	0.000609	33.809155	0.909138	56.88	0.00008322
56	0.000617	33.822931	0.907688	62.24	0.00008012
57	0.000600	33.756789	0.909684	57.10	0.00007704
58	0.000584	34.044332	0.911846	63.64	0.00007399
59	0.000582	33.886511	0.909730	54.93	0.00007096
60	0.000597	33.976587	0.911873	60.17	0.00006796
61	0.000582	33.812370	0.911255	60.83	0.00006499
62	0.000571	34.133877	0.912148	55.53	0.00006206
63	0.000591	33.802161	0.908354	59.50	0.00005917
64	0.000596	33.870982	0.912472	58.87	0.00005632
65	0.000580	34.111349	0.912678	59.65	0.00005351
66	0.000582	34.068564	0.913158	59.70	0.00005075
67	0.000566	34.101159	0.912594	58.51	0.00004804
68	0.000569	34.200318	0.912899	63.08	0.00004538
69	0.000563	34.178853	0.915534	59.65	0.00004278
70	0.000545	34.095479	0.913314	59.31	0.00004024
71	0.000550	34.141295	0.913808	59.94	0.00003776
72	0.000547	34.162229	0.913564	57.58	0.00003534
73	0.000551	34.252072	0.913851	61.86	0.00003299
74	0.000538	34.297625	0.914617	61.60	0.00003070
75	0.000539	34.261712	0.913740	61.64	0.00002849
76	0.000557	34.323106	0.912792	61.16	0.00002635
77	0.000525	34.265896	0.914310	59.56	0.00002428
78	0.000526	34.276311	0.915814	59.33	0.00002229
79	0.000526	34.165070	0.913488	58.81	0.00002038
80	0.000514	34.300933	0.913738	61.14	0.00001854
81	0.000533	34.333541	0.913852	60.60	0.00001680
82	0.000537	34.346312	0.913164	57.50	0.00001513
83	0.000524	34.309143	0.914094	57.48	0.00001355
84	0.000522	34.334391	0.914101	64.22	0.00001206
85	0.000523	34.342169	0.913899	63.31	0.00001066
86	0.000521	34.348117	0.914369	61.23	0.00000935
87	0.000507	34.395461	0.915157	57.74	0.00000813
88	0.000533	34.407789	0.915360	58.01	0.00000700
89	0.000490	34.410314	0.914990	58.84	0.00000597
90	0.000519	34.409524	0.915157	58.25	0.00000503
91	0.000504	34.393481	0.914743	59.04	0.00000419
92	0.000507	34.411366	0.915205	61.47	0.00000344
93	0.000526	34.417333	0.915103	63.05	0.00000280
94	0.000522	34.424628	0.915285	55.84	0.00000225
95	0.000517	34.432112	0.915479	59.51	0.00000180
96	0.000500	34.437427	0.915388	62.31	0.00000145
97	0.000526	34.432181	0.915270	60.94	0.00000120
98	0.000512	34.432604	0.915373	58.25	0.00000105
99	0.000515	34.437196	0.915446	60.01	0.00000100
