epoch	loss	psnr	ssim	time_s	lr
0	0.009266	26.881839	0.792617	78.62	0.00020000
1	0.002446	28.780230	0.829982	51.91	0.00019995
2	0.001949	28.039807	0.830711	53.91	0.00019980
3	0.001644	29.915219	0.852177	51.96	0.00019955
4	0.001435	30.346579	0.859830	53.85	0.00019920
5	0.001380	30.655284	0.864889	52.36	0.00019875
6	0.001345	29.418511	0.858895	52.66	0.00019820
7	0.001160	31.131932	0.862477	50.73	0.00019756
8	0.001154	31.248651	0.869546	55.27	0.00019681
9	0.001104	31.305553	0.872055	51.98	0.00019597
10	0.001072	31.645211	0.872305	57.24	0.00019503
11	0.001046	30.794185	0.873068	53.30	0.00019400
12	0.001000	31.803177	0.880147	54.56	0.00019287
13	0.001009	32.315280	0.882746	55.69	0.00019165
14	0.000986	32.136064	0.885548	49.89	0.00019034
15	0.000915	31.051922	0.885633	55.38	0.00018894
16	0.000963	32.272447	0.885660	55.32	0.00018745
17	0.000899	32.360671	0.889149	52.05	0.00018587
18	0.000905	31.083914	0.888243	55.11	0.00018420
19	0.000886	31.548606	0.892900	46.98	0.00018246
20	0.000900	31.884091	0.893001	54.15	0.00018062
21	0.000793	32.555867	0.892174	52.80	0.00017871
22	0.000798	32.480314	0.896685	50.99	0.00017672
23	0.000849	32.896067	0.897259	51.45	0.00017465
24	0.000795	32.855040	0.897756	60.64	0.00017251
25	0.000816	32.356776	0.896630	54.56	0.00017030
26	0.000810	32.643966	0.894014	51.95	0.00016801
27	0.000782	32.783303	0.899394	56.83	0.00016566
28	0.000799	32.759893	0.901043	57.39	0.00016324
29	0.000746	32.786639	0.897650	51.65	0.00016076
30	0.000783	33.021385	0.899735	54.25	0.00015822
31	0.000777	31.485465	0.897780	53.48	0.00015562
32	0.000752	32.970751	0.900873	51.17	0.00015296
33	0.000746	33.162577	0.901428	57.20	0.00015025
34	0.000733	32.774616	0.903777	48.88	0.00014749
35	0.000709	33.019908	0.904138	51.62	0.00014468
36	0.000689	33.248472	0.905682	57.94	0.00014183
37	0.000655	33.067756	0.905717	48.65	0.00013894
38	0.000747	33.375768	0.907205	47.77	0.00013601
39	0.000709	33.468136	0.907158	51.84	0.00013304
40	0.000660	32.836501	0.905683	52.57	0.00013004
41	0.000652	33.365811	0.902080	56.02	0.00012701
42	0.000650	33.142484	0.901283	53.79	0.00012396
43	0.000617	33.144992	0.907337	54.11	0.00012088
44	0.000665	33.622732	0.907607	54.05	0.00011778
45	0.000644	33.534147	0.909081	50.60	0.00011466
46	0.000641	33.691641	0.907236	55.31	0.00011153
47	0.000632	33.682193	0.909465	53.69	0.00010839
48	0.000627	33.586654	0.905031	54.14	0.00010523
49	0.000591	33.788013	0.911030	56.51	0.00010208
50	0.000607	33.340861	0.908709	52.58	0.00009892
51	0.000607	33.311803	0.912966	54.28	0.00009577
52	0.000640	33.725288	0.912620	50.99	0.00009261
53	0.000580	33.770132	0.911101	51.07	0.00008947
54	0.000578	33.863399	0.911687	53.93	0.00008634
55	0.000549	34.056725	0.915343	50.02	0.00008322
56	0.000566	34.131177	0.914602	51.05	0.00008012
57	0.000542	34.268435	0.916047	49.54	0.00007704
58	0.000556	33.970904	0.915071	51.38	0.00007399
59	0.000542	34.066777	0.913952	53.06	0.00007096
60	0.000549	34.132159	0.916364	48.35	0.00006796
61	0.000550	34.030222	0.918100	54.65	0.00006499
62	0.000541	34.027652	0.915277	48.96	0.00006206
63	0.000542	34.222728	0.917104	52.52	0.00005917
64	0.000534	34.154240	0.915977	52.28	0.00005632
65	0.000521	34.329001	0.918228	51.87	0.00005351
66	0.000534	34.443323	0.917153	55.31	0.00005075
67	0.000523	34.466437	0.918696	49.08	0.00004804
68	0.000547	34.495254	0.918889	52.50	0.00004538
69	0.000536	34.337977	0.917211	50.37	0.00004278
70	0.000511	34.511997	0.917191	47.45	0.00004024
71	0.000497	34.533069	0.918177	53.33	0.00003776
72	0.000488	34.512086	0.917919	51.99	0.00003534
73	0.000514	34.522905	0.918682	54.72	0.00003299
74	0.000492	34.523744	0.918446	52.55	0.00003070
75	0.000524	34.566906	0.918239	49.97	0.00002849
76	0.000505	34.561746	0.917258	54.09	0.00002635
77	0.000495	34.533019	0.917529	56.13	0.00002428
78	0.000486	34.533188	0.917589	52.53	0.00002229
79	0.000495	34.708036	0.920908	54.00	0.00002038
80	0.000492	34.507747	0.918831	48.67	0.00001854
81	0.000501	34.595989	0.917928	51.91	0.00001680
82	0.000493	34.657834	0.919696	54.65	0.00001513
83	0.000519	34.687502	0.919143	50.64	0.00001355
84	0.000507	34.620067	0.918678	53.18	0.00001206
85	0.000478	34.621248	0.918530	55.99	0.00001066
86	0.000484	34.668936	0.919793	59.31	0.00000935
87	0.000471	34.671530	0.919574	53.08	0.00000813
88	0.000487	34.720643	0.919951	48.71	0.00000700
89	0.000478	34.706003	0.919681	52.45	0.00000597
90	0.000473	34.727810	0.919822	52.79	0.00000503
91	0.000495	34.739894	0.919963	57.20	0.00000419
92	0.000487	34.709008	0.919747	52.20	0.00000344
93	0.000493	34.705018	0.919735	52.18	0.00000280
94	0.000500	34.707915	0.919516	52.04	0.00000225
95	0.000487	34.682105	0.919463	50.97	0.00000180
96	0.000487	34.688953	0.919450	48.89	0.00000145
97	0.000486	34.696504	0.919532	55.61	0.00000120
98	0.000480	34.693020	0.919374	52.79	0.00000105
99	0.000481	34.693799	0.919282	52.28	0.00000100
