epoch	loss	psnr	ssim	time_s	lr	crop_mode	crop_size	batch_size
0	0.000201	39.553170	0.956255	145.83	0.00001000	random	128x128	4
1	0.000191	39.559252	0.956259	14.52	0.00001000	random	128x128	4
2	0.000195	39.545727	0.955999	13.66	0.00001000	random	128x128	4
3	0.000202	39.589380	0.956432	14.19	0.00001000	random	128x128	4
4	0.000199	39.632889	0.956375	13.61	0.00001000	random	128x128	4
5	0.000201	39.609436	0.956316	14.15	0.00001000	random	128x128	4
6	0.000192	39.652702	0.956455	13.65	0.00001000	random	128x128	4
7	0.000198	39.635814	0.956357	14.37	0.00001000	random	128x128	4
8	0.000209	39.655240	0.956438	14.45	0.00001000	random	128x128	4
9	0.000191	39.639512	0.956500	13.88	0.00001000	random	128x128	4
10	0.000186	39.605808	0.956215	14.43	0.00001000	random	128x128	4
11	0.000188	39.588077	0.956316	13.86	0.00001000	random	128x128	4
12	0.000201	39.612587	0.956332	14.48	0.00001000	random	128x128	4
13	0.000193	39.628114	0.956549	13.88	0.00001000	random	128x128	4
14	0.000189	39.659432	0.956517	14.43	0.00001000	random	128x128	4
15	0.000197	39.595203	0.956383	13.89	0.00001000	random	128x128	4
16	0.000185	39.607403	0.956346	14.40	0.00001000	random	128x128	4
17	0.000193	39.618895	0.956437	13.90	0.00001000	random	128x128	4
18	0.000190	39.637505	0.956473	14.40	0.00001000	random	128x128	4
19	0.000203	39.621822	0.956483	13.87	0.00001000	random	128x128	4
20	0.000185	39.654209	0.956618	14.43	0.00001000	random	128x128	4
21	0.000202	39.585554	0.956379	13.84	0.00001000	random	128x128	4
22	0.000195	39.618806	0.956611	14.42	0.00001000	random	128x128	4
23	0.000193	39.618350	0.956504	13.89	0.00001000	random	128x128	4
24	0.000190	39.616257	0.956421	14.40	0.00001000	random	128x128	4
25	0.000197	39.665124	0.956641	14.41	0.00001000	random	128x128	4
26	0.000196	39.471346	0.955968	13.82	0.00001000	random	128x128	4
27	0.000195	39.602645	0.956385	14.40	0.00001000	random	128x128	4
28	0.000189	39.587981	0.956221	13.81	0.00001000	random	128x128	4
29	0.000183	39.637257	0.956528	14.39	0.00001000	random	128x128	4
30	0.000191	39.588648	0.956460	13.82	0.00001000	random	128x128	4
31	0.000193	39.624071	0.956460	14.33	0.00001000	random	128x128	4
32	0.000193	39.638079	0.956419	13.63	0.00001000	random	128x128	4
33	0.000189	39.602959	0.956454	14.22	0.00001000	random	128x128	4
34	0.000187	39.625553	0.956644	13.60	0.00001000	random	128x128	4
35	0.000192	39.669867	0.956704	14.17	0.00001000	random	128x128	4
36	0.000187	39.654993	0.956530	13.62	0.00001000	random	128x128	4
37	0.000190	39.666839	0.956632	14.20	0.00001000	random	128x128	4
38	0.000188	39.644103	0.956601	14.19	0.00001000	random	128x128	4
39	0.000197	39.634836	0.956583	13.57	0.00001000	random	128x128	4
40	0.000193	39.640166	0.956621	14.15	0.00001000	random	128x128	4
41	0.000185	39.651313	0.956661	13.60	0.00001000	random	128x128	4
42	0.000198	39.654952	0.956551	14.20	0.00001000	random	128x128	4
43	0.000198	39.670165	0.956594	13.64	0.00001000	random	128x128	4
44	0.000184	39.642352	0.956473	14.15	0.00001000	random	128x128	4
45	0.000196	39.661002	0.956595	13.57	0.00001000	random	128x128	4
46	0.000196	39.658788	0.956561	14.16	0.00001000	random	128x128	4
47	0.000197	39.652959	0.956672	13.62	0.00001000	random	128x128	4
48	0.000191	39.559996	0.956058	14.18	0.00001000	random	128x128	4
49	0.000193	39.633927	0.956360	13.67	0.00001000	random	128x128	4
50	0.000200	39.682489	0.956567	14.36	0.00001000	random	128x128	4
51	0.000198	39.686585	0.956707	13.59	0.00001000	random	128x128	4
52	0.000186	39.675509	0.956660	14.18	0.00001000	random	128x128	4
53	0.000197	39.644690	0.956461	14.20	0.00001000	random	128x128	4
54	0.000195	39.557663	0.956288	13.63	0.00001000	random	128x128	4
55	0.000197	39.620047	0.956526	14.19	0.00001000	random	128x128	4
56	0.000201	39.650764	0.956601	13.56	0.00001000	random	128x128	4
57	0.000190	39.619021	0.956663	14.16	0.00001000	random	128x128	4
58	0.000202	39.608942	0.956613	13.57	0.00001000	random	128x128	4
59	0.000204	39.636524	0.956609	14.16	0.00001000	random	128x128	4
60	0.000194	39.640803	0.956624	13.66	0.00001000	random	128x128	4
61	0.000196	39.641123	0.956525	14.16	0.00001000	random	128x128	4
62	0.000197	39.653131	0.956385	13.57	0.00001000	random	128x128	4
63	0.000195	39.629502	0.956358	14.15	0.00001000	random	128x128	4
64	0.000205	39.616302	0.956373	13.57	0.00001000	random	128x128	4
65	0.000201	39.636381	0.956630	14.18	0.00001000	random	128x128	4
66	0.000188	39.604814	0.956448	14.18	0.00001000	random	128x128	4
67	0.000195	39.623833	0.956419	13.67	0.00001000	random	128x128	4
68	0.000190	39.630383	0.956464	14.11	0.00001000	random	128x128	4
69	0.000196	39.629438	0.956671	13.61	0.00001000	random	128x128	4
70	0.000197	39.651321	0.956587	14.15	0.00001000	random	128x128	4
71	0.000179	39.641017	0.956429	13.63	0.00001000	random	128x128	4
72	0.000184	39.573183	0.956380	14.48	0.00001000	random	128x128	4
73	0.000201	39.620811	0.956582	15.12	0.00001000	random	128x128	4
74	0.000183	39.631387	0.956460	15.40	0.00001000	random	128x128	4
75	0.000195	39.664338	0.956665	14.69	0.00001000	random	128x128	4
76	0.000190	39.519482	0.956003	15.21	0.00001000	random	128x128	4
77	0.000193	39.579706	0.956373	14.72	0.00001000	random	128x128	4
78	0.000189	39.658552	0.956508	15.29	0.00001000	random	128x128	4
79	0.000193	39.623118	0.956468	14.63	0.00001000	random	128x128	4
80	0.000189	39.623682	0.956430	15.41	0.00001000	random	128x128	4
81	0.000192	39.681502	0.956656	15.83	0.00001000	random	128x128	4
82	0.000200	39.633470	0.956328	14.85	0.00001000	random	128x128	4
83	0.000186	39.657879	0.956570	15.59	0.00001000	random	128x128	4
84	0.000190	39.619367	0.956548	14.94	0.00001000	random	128x128	4
85	0.000197	39.660616	0.956531	15.73	0.00001000	random	128x128	4
