epoch	loss	psnr	ssim	time_s	lr	crop_mode	crop_size	batch_size
0	0.008360	26.386867	0.797247	133.76	0.00020000	random	96x192,192x384,384x768	1
1	0.002437	28.642056	0.834429	95.04	0.00019995	random	96x192,192x384,384x768	1
2	0.001714	28.504215	0.800104	89.82	0.00019980	random	96x192,192x384,384x768	1
3	0.001525	29.589437	0.855088	90.21	0.00019955	random	96x192,192x384,384x768	1
4	0.001303	30.857403	0.866007	88.86	0.00019920	random	96x192,192x384,384x768	1
5	0.001196	30.437872	0.872341	86.93	0.00019875	random	96x192,192x384,384x768	1
6	0.001206	31.343965	0.875534	88.42	0.00019820	random	96x192,192x384,384x768	1
7	0.001201	29.495035	0.864528	88.72	0.00019756	random	96x192,192x384,384x768	1
8	0.001138	31.209845	0.867727	91.58	0.00019681	random	96x192,192x384,384x768	1
9	0.001055	31.575543	0.875369	94.29	0.00019597	random	96x192,192x384,384x768	1
10	0.001081	30.917335	0.878589	85.44	0.00019503	random	96x192,192x384,384x768	1
11	0.000973	31.866359	0.884128	81.42	0.00019400	random	96x192,192x384,384x768	1
12	0.000934	31.593763	0.873698	94.94	0.00019287	random	96x192,192x384,384x768	1
13	0.000933	31.253762	0.886276	85.68	0.00019165	random	96x192,192x384,384x768	1
14	0.000967	30.906821	0.880817	89.26	0.00019034	random	96x192,192x384,384x768	1
15	0.000918	30.693172	0.880934	83.97	0.00018894	random	96x192,192x384,384x768	1
16	0.000912	31.988215	0.887784	81.67	0.00018745	random	96x192,192x384,384x768	1
17	0.000850	32.242543	0.884249	81.12	0.00018587	random	96x192,192x384,384x768	1
18	0.000816	31.972300	0.888607	94.50	0.00018420	random	96x192,192x384,384x768	1
19	0.000951	32.378086	0.886290	82.12	0.00018246	random	96x192,192x384,384x768	1
20	0.000867	32.430373	0.889369	85.77	0.00018062	random	96x192,192x384,384x768	1
21	0.000815	32.107107	0.889760	86.31	0.00017871	random	96x192,192x384,384x768	1
22	0.000866	31.979162	0.890198	83.22	0.00017672	random	96x192,192x384,384x768	1
23	0.000797	32.563485	0.893913	87.15	0.00017465	random	96x192,192x384,384x768	1
24	0.000787	32.509938	0.889017	94.08	0.00017251	random	96x192,192x384,384x768	1
25	0.000766	32.708894	0.891305	86.69	0.00017030	random	96x192,192x384,384x768	1
26	0.000734	32.809530	0.892089	81.61	0.00016801	random	96x192,192x384,384x768	1
27	0.000771	32.776625	0.893740	85.16	0.00016566	random	96x192,192x384,384x768	1
28	0.000788	32.737402	0.894394	91.76	0.00016324	random	96x192,192x384,384x768	1
29	0.000715	32.939100	0.898379	85.85	0.00016076	random	96x192,192x384,384x768	1
30	0.000712	33.020874	0.892653	78.94	0.00015822	random	96x192,192x384,384x768	1
31	0.000727	32.651359	0.890536	92.48	0.00015562	random	96x192,192x384,384x768	1
32	0.000752	33.170112	0.896370	91.76	0.00015296	random	96x192,192x384,384x768	1
33	0.000712	32.722823	0.893234	83.10	0.00015025	random	96x192,192x384,384x768	1
34	0.000663	32.609219	0.898810	94.87	0.00014749	random	96x192,192x384,384x768	1
35	0.000667	32.698754	0.895413	89.02	0.00014468	random	96x192,192x384,384x768	1
36	0.000706	32.684623	0.894103	80.30	0.00014183	random	96x192,192x384,384x768	1
37	0.000676	33.213010	0.900094	83.24	0.00013894	random	96x192,192x384,384x768	1
38	0.000663	32.582162	0.895655	88.99	0.00013601	random	96x192,192x384,384x768	1
39	0.000651	33.036496	0.899638	87.00	0.00013304	random	96x192,192x384,384x768	1
40	0.000638	33.310708	0.905918	89.72	0.00013004	random	96x192,192x384,384x768	1
41	0.000633	33.136209	0.904246	82.19	0.00012701	random	96x192,192x384,384x768	1
42	0.000651	33.344783	0.904410	88.16	0.00012396	random	96x192,192x384,384x768	1
43	0.000614	33.217070	0.905039	81.98	0.00012088	random	96x192,192x384,384x768	1
44	0.000636	33.548048	0.903257	87.40	0.00011778	random	96x192,192x384,384x768	1
45	0.000625	33.401573	0.902905	88.06	0.00011466	random	96x192,192x384,384x768	1
46	0.000604	33.443122	0.903396	84.61	0.00011153	random	96x192,192x384,384x768	1
47	0.000570	33.907324	0.909065	88.32	0.00010839	random	96x192,192x384,384x768	1
48	0.000590	33.607326	0.907043	88.61	0.00010523	random	96x192,192x384,384x768	1
49	0.000584	33.282544	0.905361	79.85	0.00010208	random	96x192,192x384,384x768	1
50	0.000617	33.689046	0.907549	96.47	0.00009892	random	96x192,192x384,384x768	1
51	0.000563	33.974919	0.911137	85.21	0.00009577	random	96x192,192x384,384x768	1
52	0.000574	33.505365	0.906412	92.04	0.00009261	random	96x192,192x384,384x768	1
53	0.000556	34.032718	0.912178	88.51	0.00008947	random	96x192,192x384,384x768	1
