epoch	loss	psnr	ssim	time_s	lr
0	0.007430	27.404685	0.808868	110.87	0.00020000
1	0.002297	28.817219	0.842861	82.19	0.00019995
2	0.001764	28.531411	0.852048	83.33	0.00019980
3	0.001557	30.044995	0.856707	76.26	0.00019955
4	0.001354	30.751088	0.865999	80.28	0.00019920
5	0.001311	28.759816	0.855160	83.05	0.00019875
6	0.001179	31.199054	0.869853	70.48	0.00019820
7	0.001143	30.665362	0.868376	74.95	0.00019756
8	0.001106	30.315827	0.873803	80.87	0.00019681
9	0.001112	31.237683	0.874490	83.28	0.00019597
10	0.001031	32.060883	0.880397	82.58	0.00019503
11	0.001006	31.918505	0.878999	78.70	0.00019400
12	0.001024	31.925660	0.876503	80.58	0.00019287
13	0.000976	31.601127	0.882979	79.06	0.00019165
14	0.000925	31.624693	0.883503	72.65	0.00019034
15	0.000937	31.750180	0.883986	77.24	0.00018894
16	0.000897	32.160470	0.884853	82.86	0.00018745
17	0.000901	31.889479	0.889751	71.88	0.00018587
18	0.000819	32.361098	0.888202	86.73	0.00018420
19	0.000845	32.460070	0.889959	86.94	0.00018246
20	0.000849	32.475042	0.892293	77.69	0.00018062
21	0.000806	32.627781	0.894518	81.24	0.00017871
22	0.000803	32.357528	0.889224	74.19	0.00017672
23	0.000800	32.553672	0.893385	78.15	0.00017465
24	0.000787	32.481824	0.896069	80.04	0.00017251
25	0.000770	32.685448	0.896208	76.71	0.00017030
26	0.000775	32.926176	0.895666	82.24	0.00016801
27	0.000759	32.583084	0.895518	79.51	0.00016566
28	0.000752	32.561161	0.898958	85.35	0.00016324
29	0.000729	32.949268	0.900303	73.16	0.00016076
30	0.000757	33.050867	0.902867	82.41	0.00015822
31	0.000714	33.121079	0.901114	76.35	0.00015562
32	0.000717	33.143382	0.904469	82.01	0.00015296
33	0.000719	33.309011	0.902328	81.57	0.00015025
34	0.000812	32.827168	0.903591	76.87	0.00014749
35	0.000698	33.337052	0.901590	83.53	0.00014468
36	0.000643	33.132985	0.901326	80.18	0.00014183
37	0.000651	33.149080	0.905274	82.14	0.00013894
38	0.000644	33.047994	0.904499	85.67	0.00013601
39	0.000661	33.556048	0.906082	76.62	0.00013304
40	0.000603	33.649626	0.908201	74.03	0.00013004
41	0.000615	33.308015	0.906013	77.57	0.00012701
42	0.000626	33.712222	0.907393	79.45	0.00012396
43	0.000650	33.616960	0.908131	83.16	0.00012088
44	0.000609	33.721687	0.913160	78.73	0.00011778
45	0.000598	33.846676	0.913024	80.80	0.00011466
46	0.000565	33.782001	0.910819	85.83	0.00011153
47	0.000605	33.717856	0.913155	77.83	0.00010839
48	0.000574	33.843258	0.908164	81.91	0.00010523
49	0.000601	33.821943	0.911721	82.39	0.00010208
50	0.000606	33.809161	0.913244	79.26	0.00009892
51	0.000588	33.880823	0.910264	74.35	0.00009577
52	0.000579	33.925206	0.913718	80.61	0.00009261
53	0.000554	34.161902	0.912021	80.46	0.00008947
54	0.000559	34.205392	0.914542	80.40	0.00008634
55	0.000559	33.898903	0.914432	76.65	0.00008322
56	0.000536	34.135369	0.916027	76.55	0.00008012
57	0.000522	34.170484	0.915876	75.41	0.00007704
58	0.000525	33.929554	0.916815	87.35	0.00007399
59	0.000547	34.376576	0.918609	74.59	0.00007096
60	0.000539	34.420129	0.918492	78.25	0.00006796
61	0.000527	34.281308	0.915287	81.41	0.00006499
62	0.000535	34.350793	0.917514	83.29	0.00006206
63	0.000526	34.485556	0.917720	80.80	0.00005917
64	0.000518	34.411446	0.917647	82.35	0.00005632
65	0.000493	34.591505	0.920076	77.49	0.00005351
66	0.000519	34.659992	0.919952	72.31	0.00005075
67	0.000519	34.441329	0.917923	84.64	0.00004804
68	0.000501	34.614417	0.920035	75.02	0.00004538
69	0.000482	34.585917	0.920224	85.16	0.00004278
70	0.000518	34.628966	0.920020	78.79	0.00004024
71	0.000488	34.671944	0.920956	75.90	0.00003776
72	0.000493	34.589002	0.918631	84.07	0.00003534
73	0.000488	34.628120	0.919609	78.92	0.00003299
74	0.000484	34.667712	0.917314	80.81	0.00003070
75	0.000495	34.685629	0.918777	78.55	0.00002849
76	0.000484	34.737086	0.919182	80.04	0.00002635
77	0.000467	34.736794	0.918879	81.64	0.00002428
78	0.000478	34.796258	0.919870	83.75	0.00002229
79	0.000488	34.768582	0.920487	81.20	0.00002038
80	0.000489	34.827345	0.921452	77.43	0.00001854
81	0.000490	34.791972	0.920916	80.81	0.00001680
82	0.000493	34.835152	0.920985	84.87	0.00001513
83	0.000471	34.894542	0.921425	77.40	0.00001355
84	0.000487	34.817110	0.920451	78.60	0.00001206
85	0.000465	34.831834	0.920884	84.19	0.00001066
86	0.000476	34.865167	0.920926	76.97	0.00000935
87	0.000479	34.853982	0.920891	75.97	0.00000813
88	0.000480	34.887089	0.921234	83.77	0.00000700
89	0.000475	34.894852	0.921360	83.62	0.00000597
90	0.000467	34.885896	0.921145	74.67	0.00000503
91	0.000494	34.922405	0.921648	81.53	0.00000419
92	0.000448	34.912062	0.921329	84.71	0.00000344
93	0.000471	34.898612	0.921163	80.13	0.00000280
94	0.000472	34.906090	0.921531	81.38	0.00000225
95	0.000443	34.911684	0.921403	78.12	0.00000180
96	0.000469	34.910425	0.921341	75.84	0.00000145
97	0.000439	34.904671	0.921300	77.06	0.00000120
98	0.000484	34.915025	0.921337	77.91	0.00000105
99	0.000468	34.911328	0.921408	80.15	0.00000100
