epoch	loss	psnr	ssim	time_s	lr	crop_mode	crop_size
79	0.003179	28.681570	0.851966	0.84	0.00018794	progressive	96x192
80	0.002946	29.460854	0.853744	0.83	0.00018764	progressive	96x192
81	0.002982	29.194199	0.859113	0.84	0.00018734	progressive	96x192
82	0.003070	27.961375	0.854596	0.84	0.00018703	progressive	96x192
83	0.003102	29.508799	0.860454	0.84	0.00018672	progressive	96x192
84	0.003222	24.828651	0.848806	0.84	0.00018641	progressive	96x192
85	0.003524	29.836560	0.858958	0.84	0.00018609	progressive	96x192
86	0.003150	27.655583	0.855263	0.84	0.00018577	progressive	96x192
87	0.002739	26.871237	0.855006	0.84	0.00018544	progressive	96x192
88	0.002770	29.597747	0.859017	0.84	0.00018512	progressive	96x192
89	0.003388	25.091443	0.846572	0.85	0.00018478	progressive	96x192
90	0.002899	27.459025	0.854470	0.85	0.00018445	progressive	96x192
91	0.003091	29.618336	0.856913	0.84	0.00018411	progressive	96x192
92	0.002939	28.434996	0.856849	0.85	0.00018377	progressive	96x192
93	0.003137	27.870711	0.860877	0.84	0.00018343	progressive	96x192
94	0.002884	27.623651	0.860201	0.84	0.00018308	progressive	96x192
95	0.003240	29.263530	0.860704	0.84	0.00018273	progressive	96x192
96	0.002584	26.911469	0.853929	0.84	0.00018237	progressive	96x192
97	0.002669	29.288480	0.863658	0.83	0.00018202	progressive	96x192
98	0.002908	29.186950	0.864096	0.84	0.00018165	progressive	96x192
99	0.003197	26.990021	0.857370	0.83	0.00018129	progressive	96x192
100	0.003055	29.048102	0.862717	0.96	0.00018092	progressive	96x192
101	0.003130	27.879840	0.856616	0.84	0.00018055	progressive	96x192
102	0.003077	26.526223	0.858891	0.84	0.00018018	progressive	96x192
103	0.002778	29.366350	0.863127	0.84	0.00017980	progressive	96x192
104	0.002449	28.194690	0.865638	0.84	0.00017942	progressive	96x192
105	0.002580	29.002744	0.868139	0.84	0.00017904	progressive	96x192
106	0.002595	29.167805	0.865164	0.84	0.00017865	progressive	96x192
107	0.002820	29.661090	0.866184	0.84	0.00017826	progressive	96x192
108	0.003723	26.923987	0.861054	0.84	0.00017787	progressive	96x192
109	0.002526	29.899852	0.869615	0.85	0.00017748	progressive	96x192
110	0.002435	29.324045	0.869758	0.84	0.00017708	progressive	96x192
111	0.002264	30.602221	0.871675	0.84	0.00017668	progressive	96x192
112	0.002301	29.973043	0.871187	0.85	0.00017627	progressive	96x192
113	0.002590	29.503588	0.869985	0.85	0.00017586	progressive	96x192
114	0.002525	29.149660	0.868823	0.85	0.00017545	progressive	96x192
115	0.002425	29.721935	0.872592	0.84	0.00017504	progressive	96x192
116	0.002394	29.731125	0.872224	0.84	0.00017462	progressive	96x192
117	0.002376	26.438871	0.865629	0.85	0.00017420	progressive	96x192
118	0.002652	29.072061	0.863392	0.83	0.00017378	progressive	96x192
119	0.002900	28.956297	0.869487	0.83	0.00017336	progressive	96x192
120	0.002303	30.240845	0.868932	0.84	0.00017293	progressive	96x192
121	0.002510	30.358329	0.871947	0.84	0.00017250	progressive	96x192
122	0.002445	29.562425	0.870952	0.84	0.00017206	progressive	96x192
123	0.002725	28.095725	0.871903	0.84	0.00017163	progressive	96x192
124	0.002670	30.116131	0.872643	0.85	0.00017119	progressive	96x192
125	0.002355	28.957684	0.872347	0.83	0.00017075	progressive	96x192
126	0.002297	30.460092	0.877154	0.85	0.00017030	progressive	96x192
127	0.002447	29.339886	0.874051	0.84	0.00016985	progressive	96x192
128	0.002349	29.749091	0.874898	0.83	0.00016940	progressive	96x192
129	0.002695	29.018961	0.874108	0.84	0.00016895	progressive	96x192
130	0.002159	27.857545	0.869672	0.84	0.00016849	progressive	96x192
131	0.002266	29.545599	0.873568	0.83	0.00016803	progressive	96x192
132	0.002471	29.789499	0.874723	0.83	0.00016757	progressive	96x192
133	0.002195	29.986883	0.871672	0.84	0.00016711	progressive	96x192
134	0.002290	30.074854	0.876127	0.84	0.00016664	progressive	96x192
135	0.002102	29.173906	0.875901	0.84	0.00016617	progressive	96x192
136	0.002212	27.513578	0.871973	0.85	0.00016570	progressive	96x192
137	0.002332	28.069587	0.874289	0.84	0.00016523	progressive	96x192
138	0.002658	27.504859	0.865924	0.84	0.00016475	progressive	96x192
139	0.002321	29.762205	0.875194	0.83	0.00016427	progressive	96x192
