epoch	loss	psnr	ssim	time_s	lr	crop_mode	crop_size
77	0.002736	29.316150	0.859642	5.74	0.00018854	random	96x192,192x384,384x768
78	0.002413	29.057730	0.863883	6.66	0.00018824	random	96x192,192x384,384x768
79	0.002752	29.147291	0.863584	4.74	0.00018794	random	96x192,192x384,384x768
80	0.002516	29.728313	0.864311	5.54	0.00018764	random	96x192,192x384,384x768
81	0.002780	29.454748	0.865218	5.83	0.00018734	random	96x192,192x384,384x768
82	0.002529	29.471936	0.864454	6.27	0.00018703	random	96x192,192x384,384x768
83	0.002756	28.225571	0.861442	5.20	0.00018672	random	96x192,192x384,384x768
84	0.002763	30.113444	0.866389	5.31	0.00018641	random	96x192,192x384,384x768
85	0.002651	29.718994	0.867845	6.12	0.00018609	random	96x192,192x384,384x768
86	0.002810	27.786158	0.862413	5.97	0.00018577	random	96x192,192x384,384x768
87	0.002404	30.071322	0.868666	6.20	0.00018544	random	96x192,192x384,384x768
88	0.002657	29.051654	0.863788	5.26	0.00018512	random	96x192,192x384,384x768
89	0.002986	29.461469	0.868055	7.01	0.00018478	random	96x192,192x384,384x768
90	0.002570	27.567522	0.859362	6.09	0.00018445	random	96x192,192x384,384x768
91	0.002568	26.666107	0.864250	6.30	0.00018411	random	96x192,192x384,384x768
92	0.002793	29.874925	0.869166	5.45	0.00018377	random	96x192,192x384,384x768
93	0.002987	29.312782	0.866009	5.19	0.00018343	random	96x192,192x384,384x768
94	0.002547	28.824684	0.870844	5.34	0.00018308	random	96x192,192x384,384x768
95	0.002525	29.647673	0.869414	5.91	0.00018273	random	96x192,192x384,384x768
96	0.002633	28.056978	0.867126	5.74	0.00018237	random	96x192,192x384,384x768
97	0.002637	28.658667	0.867563	5.78	0.00018202	random	96x192,192x384,384x768
98	0.002774	28.433911	0.866195	5.90	0.00018165	random	96x192,192x384,384x768
99	0.002428	30.098411	0.871814	6.07	0.00018129	random	96x192,192x384,384x768
100	0.002612	28.871044	0.871737	6.49	0.00018092	random	96x192,192x384,384x768
101	0.002322	28.909022	0.869868	5.63	0.00018055	random	96x192,192x384,384x768
102	0.002543	30.444664	0.872684	5.53	0.00018018	random	96x192,192x384,384x768
103	0.002372	27.981320	0.871588	5.99	0.00017980	random	96x192,192x384,384x768
104	0.002849	29.971738	0.873770	6.75	0.00017942	random	96x192,192x384,384x768
105	0.002504	29.043671	0.869101	5.92	0.00017904	random	96x192,192x384,384x768
106	0.002407	28.756942	0.872958	6.12	0.00017865	random	96x192,192x384,384x768
107	0.002468	28.792211	0.869040	6.25	0.00017826	random	96x192,192x384,384x768
108	0.002640	29.997857	0.873264	5.51	0.00017787	random	96x192,192x384,384x768
109	0.002483	28.483967	0.871378	5.46	0.00017748	random	96x192,192x384,384x768
110	0.002272	26.717434	0.872438	6.08	0.00017708	random	96x192,192x384,384x768
111	0.002416	30.338498	0.876532	6.72	0.00017668	random	96x192,192x384,384x768
112	0.002276	30.447241	0.876516	5.07	0.00017627	random	96x192,192x384,384x768
113	0.002657	30.177460	0.876874	5.63	0.00017586	random	96x192,192x384,384x768
114	0.002269	30.636462	0.877355	5.92	0.00017545	random	96x192,192x384,384x768
115	0.002202	30.093543	0.875392	5.81	0.00017504	random	96x192,192x384,384x768
116	0.002561	28.228736	0.872864	5.42	0.00017462	random	96x192,192x384,384x768
117	0.002320	30.853847	0.879777	5.68	0.00017420	random	96x192,192x384,384x768
118	0.002106	29.937630	0.877382	5.58	0.00017378	random	96x192,192x384,384x768
119	0.002178	30.849419	0.877139	6.03	0.00017336	random	96x192,192x384,384x768
120	0.002488	29.606943	0.876951	5.14	0.00017293	random	96x192,192x384,384x768
121	0.002463	29.188601	0.876464	5.80	0.00017250	random	96x192,192x384,384x768
122	0.002329	30.549470	0.878431	5.63	0.00017206	random	96x192,192x384,384x768
123	0.002333	28.445780	0.876546	5.90	0.00017163	random	96x192,192x384,384x768
124	0.002321	28.437411	0.877331	5.87	0.00017119	random	96x192,192x384,384x768
125	0.002064	29.405461	0.878193	5.92	0.00017075	random	96x192,192x384,384x768
126	0.002319	29.035114	0.877562	5.77	0.00017030	random	96x192,192x384,384x768
127	0.002530	30.165823	0.880086	5.51	0.00016985	random	96x192,192x384,384x768
128	0.002390	30.450574	0.880210	5.19	0.00016940	random	96x192,192x384,384x768
129	0.002244	28.352032	0.878798	5.66	0.00016895	random	96x192,192x384,384x768
130	0.002250	30.301108	0.881930	5.60	0.00016849	random	96x192,192x384,384x768
131	0.001959	29.344501	0.881941	6.18	0.00016803	random	96x192,192x384,384x768
132	0.002145	30.214964	0.879865	5.52	0.00016757	random	96x192,192x384,384x768
133	0.002090	30.226110	0.878229	5.57	0.00016711	random	96x192,192x384,384x768
134	0.002124	28.851976	0.879847	5.47	0.00016664	random	96x192,192x384,384x768
135	0.002558	28.627883	0.878061	5.27	0.00016617	random	96x192,192x384,384x768
136	0.002543	29.997123	0.877594	5.41	0.00016570	random	96x192,192x384,384x768
137	0.002197	31.052864	0.883061	5.93	0.00016523	random	96x192,192x384,384x768
138	0.002299	28.880535	0.873593	5.59	0.00016475	random	96x192,192x384,384x768
