epoch	loss	psnr	ssim	time_s	lr	crop_mode	crop_size	batch_size
0	0.000216	37.887736	0.956848	96.28	0.00010000	random	96x192,192x384,384x768	1
1	0.000224	37.741674	0.955502	74.03	0.00009998	random	96x192,192x384,384x768	1
2	0.000226	38.184024	0.956990	70.87	0.00009991	random	96x192,192x384,384x768	1
3	0.000238	38.117070	0.956348	71.46	0.00009980	random	96x192,192x384,384x768	1
4	0.000254	38.100069	0.956451	77.92	0.00009964	random	96x192,192x384,384x768	1
5	0.000248	37.893612	0.955687	68.73	0.00009943	random	96x192,192x384,384x768	1
6	0.000223	37.706918	0.955663	74.21	0.00009919	random	96x192,192x384,384x768	1
7	0.000214	37.973427	0.956976	69.87	0.00009889	random	96x192,192x384,384x768	1
8	0.000200	38.325579	0.956925	74.09	0.00009856	random	96x192,192x384,384x768	1
9	0.000207	38.296410	0.957034	74.31	0.00009818	random	96x192,192x384,384x768	1
10	0.000203	38.211219	0.957130	70.22	0.00009775	random	96x192,192x384,384x768	1
11	0.000197	38.204575	0.957561	72.68	0.00009729	random	96x192,192x384,384x768	1
12	0.000206	37.847313	0.957484	70.37	0.00009678	random	96x192,192x384,384x768	1
13	0.000209	38.075949	0.957424	81.47	0.00009622	random	96x192,192x384,384x768	1
14	0.000208	38.249870	0.956695	75.03	0.00009563	random	96x192,192x384,384x768	1
15	0.000204	38.196965	0.957463	72.29	0.00009500	random	96x192,192x384,384x768	1
16	0.000208	38.301564	0.957877	80.05	0.00009432	random	96x192,192x384,384x768	1
17	0.000232	38.126263	0.957412	76.01	0.00009361	random	96x192,192x384,384x768	1
18	0.000207	38.307930	0.957500	69.55	0.00009286	random	96x192,192x384,384x768	1
19	0.000234	37.463774	0.953723	73.84	0.00009207	random	96x192,192x384,384x768	1
20	0.000220	37.102669	0.955766	70.66	0.00009124	random	96x192,192x384,384x768	1
21	0.000237	38.103461	0.956923	75.83	0.00009037	random	96x192,192x384,384x768	1
22	0.000210	38.321500	0.957805	73.93	0.00008947	random	96x192,192x384,384x768	1
23	0.000226	36.044507	0.939031	69.37	0.00008854	random	96x192,192x384,384x768	1
24	0.000228	38.044829	0.956283	69.99	0.00008757	random	96x192,192x384,384x768	1
25	0.000215	37.851060	0.956581	74.14	0.00008657	random	96x192,192x384,384x768	1
26	0.000215	38.207284	0.956682	72.61	0.00008553	random	96x192,192x384,384x768	1
27	0.000211	38.058494	0.956542	71.02	0.00008447	random	96x192,192x384,384x768	1
28	0.000202	38.078876	0.955483	72.24	0.00008337	random	96x192,192x384,384x768	1
29	0.000200	38.274867	0.956809	73.81	0.00008225	random	96x192,192x384,384x768	1
30	0.000192	38.345055	0.958164	78.02	0.00008110	random	96x192,192x384,384x768	1
31	0.000195	38.492641	0.958120	74.78	0.00007993	random	96x192,192x384,384x768	1
32	0.000197	36.995617	0.956739	73.58	0.00007873	random	96x192,192x384,384x768	1
33	0.000244	37.947922	0.956042	73.40	0.00007750	random	96x192,192x384,384x768	1
34	0.000214	38.234221	0.957053	71.18	0.00007625	random	96x192,192x384,384x768	1
35	0.000208	37.999745	0.955661	70.92	0.00007498	random	96x192,192x384,384x768	1
36	0.000195	38.092352	0.957540	67.40	0.00007369	random	96x192,192x384,384x768	1
37	0.000197	38.370211	0.957280	76.12	0.00007239	random	96x192,192x384,384x768	1
38	0.000187	38.571123	0.957991	74.41	0.00007106	random	96x192,192x384,384x768	1
39	0.000191	38.147705	0.957010	70.69	0.00006972	random	96x192,192x384,384x768	1
40	0.000201	38.408402	0.957704	68.43	0.00006836	random	96x192,192x384,384x768	1
41	0.000193	38.467086	0.957787	78.94	0.00006699	random	96x192,192x384,384x768	1
42	0.000198	38.367458	0.957471	65.10	0.00006561	random	96x192,192x384,384x768	1
43	0.000198	38.437290	0.957788	71.45	0.00006422	random	96x192,192x384,384x768	1
44	0.000193	38.496465	0.957646	72.81	0.00006281	random	96x192,192x384,384x768	1
45	0.000191	38.332379	0.957444	66.46	0.00006140	random	96x192,192x384,384x768	1
46	0.000188	38.526395	0.958441	66.91	0.00005999	random	96x192,192x384,384x768	1
47	0.000196	38.359072	0.957746	76.31	0.00005857	random	96x192,192x384,384x768	1
48	0.000184	38.387098	0.957619	73.73	0.00005714	random	96x192,192x384,384x768	1
49	0.000194	38.400252	0.957742	74.05	0.00005571	random	96x192,192x384,384x768	1
50	0.000189	38.522677	0.957727	70.32	0.00005429	random	96x192,192x384,384x768	1
51	0.000190	38.526937	0.957981	72.01	0.00005286	random	96x192,192x384,384x768	1
52	0.000188	38.516443	0.958396	76.64	0.00005143	random	96x192,192x384,384x768	1
53	0.000183	38.504802	0.957969	71.17	0.00005001	random	96x192,192x384,384x768	1
54	0.000188	38.438867	0.957957	70.41	0.00004860	random	96x192,192x384,384x768	1
55	0.000181	38.623695	0.958328	74.04	0.00004719	random	96x192,192x384,384x768	1
56	0.000186	38.502068	0.957760	70.34	0.00004578	random	96x192,192x384,384x768	1
57	0.000183	38.447338	0.958453	74.45	0.00004439	random	96x192,192x384,384x768	1
58	0.000194	38.281449	0.956867	73.26	0.00004301	random	96x192,192x384,384x768	1
59	0.000189	38.603476	0.958079	66.22	0.00004164	random	96x192,192x384,384x768	1
60	0.000183	38.529816	0.957925	70.58	0.00004028	random	96x192,192x384,384x768	1
61	0.000188	38.503745	0.958050	71.19	0.00003894	random	96x192,192x384,384x768	1
62	0.000191	38.659971	0.958377	72.87	0.00003761	random	96x192,192x384,384x768	1
63	0.000176	38.525260	0.957834	72.91	0.00003631	random	96x192,192x384,384x768	1
64	0.000184	38.586858	0.957724	76.30	0.00003502	random	96x192,192x384,384x768	1
65	0.000192	38.570498	0.957946	75.14	0.00003375	random	96x192,192x384,384x768	1
66	0.000183	38.567074	0.957924	69.75	0.00003250	random	96x192,192x384,384x768	1
67	0.000187	38.636757	0.957930	72.69	0.00003127	random	96x192,192x384,384x768	1
68	0.000185	38.639386	0.958127	74.74	0.00003007	random	96x192,192x384,384x768	1
