epoch	loss	psnr	ssim	time_s	lr	crop_mode	crop_size	batch_size
0	0.010465	26.496850	0.808392	86.29	0.00020000	random	96x192,192x384,384x768	1
1	0.002141	28.825900	0.833486	69.89	0.00019995	random	96x192,192x384,384x768	1
2	0.001741	29.348285	0.850501	68.27	0.00019980	random	96x192,192x384,384x768	1
3	0.001547	29.761732	0.848111	63.78	0.00019955	random	96x192,192x384,384x768	1
4	0.001362	30.220702	0.864177	64.06	0.00019920	random	96x192,192x384,384x768	1
5	0.001284	29.752441	0.864675	71.48	0.00019875	random	96x192,192x384,384x768	1
6	0.001249	30.625518	0.864267	69.92	0.00019820	random	96x192,192x384,384x768	1
7	0.001285	31.297733	0.872071	66.68	0.00019756	random	96x192,192x384,384x768	1
8	0.001143	30.830472	0.872613	61.43	0.00019681	random	96x192,192x384,384x768	1
9	0.001107	31.369933	0.872036	72.43	0.00019597	random	96x192,192x384,384x768	1
10	0.001022	31.704245	0.880519	62.34	0.00019503	random	96x192,192x384,384x768	1
11	0.001051	31.972622	0.882355	68.65	0.00019400	random	96x192,192x384,384x768	1
12	0.000977	31.914716	0.879843	68.88	0.00019287	random	96x192,192x384,384x768	1
13	0.001048	31.128813	0.883935	68.47	0.00019165	random	96x192,192x384,384x768	1
14	0.000960	31.909880	0.882418	59.60	0.00019034	random	96x192,192x384,384x768	1
