epoch	loss	psnr	ssim	time_s	lr	crop_mode	crop_size	batch_size
0	0.021429	nan	nan	95.34	0.00020000	random	256x256	4
1	0.003577	nan	nan	18.15	0.00020000	random	256x256	4
2	0.002389	nan	nan	18.12	0.00020000	random	256x256	4
3	0.002133	nan	nan	18.16	0.00020000	random	256x256	4
4	0.001951	nan	nan	18.07	0.00020000	random	256x256	4
5	0.001641	nan	nan	17.99	0.00020000	random	256x256	4
6	0.001609	nan	nan	18.06	0.00020000	random	256x256	4
7	0.001512	nan	nan	18.07	0.00019999	random	256x256	4
8	0.001382	nan	nan	18.06	0.00019999	random	256x256	4
9	0.001337	30.270497	0.858821	18.05	0.00019999	random	256x256	4
10	0.001257	nan	nan	18.11	0.00019999	random	256x256	4
11	0.001272	nan	nan	18.25	0.00019999	random	256x256	4
12	0.001192	nan	nan	18.00	0.00019998	random	256x256	4
13	0.001166	nan	nan	18.02	0.00019998	random	256x256	4
14	0.001194	nan	nan	18.16	0.00019998	random	256x256	4
15	0.001111	nan	nan	18.16	0.00019997	random	256x256	4
16	0.001114	nan	nan	18.01	0.00019997	random	256x256	4
17	0.001117	nan	nan	18.06	0.00019997	random	256x256	4
18	0.001102	nan	nan	18.14	0.00019996	random	256x256	4
19	0.001070	31.839194	0.875455	18.22	0.00019996	random	256x256	4
20	0.001037	nan	nan	18.13	0.00019995	random	256x256	4
21	0.001013	nan	nan	18.44	0.00019995	random	256x256	4
22	0.001001	nan	nan	18.11	0.00019994	random	256x256	4
23	0.000983	nan	nan	18.17	0.00019994	random	256x256	4
24	0.000986	nan	nan	18.15	0.00019993	random	256x256	4
25	0.000977	nan	nan	18.12	0.00019993	random	256x256	4
26	0.000992	nan	nan	18.13	0.00019992	random	256x256	4
27	0.000948	nan	nan	18.07	0.00019991	random	256x256	4
28	0.000956	nan	nan	18.10	0.00019991	random	256x256	4
29	0.000948	32.110970	0.879899	18.05	0.00019990	random	256x256	4
30	0.000899	nan	nan	18.06	0.00019989	random	256x256	4
31	0.000906	nan	nan	18.14	0.00019989	random	256x256	4
32	0.000895	nan	nan	18.05	0.00019988	random	256x256	4
33	0.000895	nan	nan	18.09	0.00019987	random	256x256	4
34	0.000921	nan	nan	18.09	0.00019986	random	256x256	4
35	0.000893	nan	nan	18.31	0.00019986	random	256x256	4
36	0.000866	nan	nan	18.14	0.00019985	random	256x256	4
37	0.000870	nan	nan	18.09	0.00019984	random	256x256	4
38	0.000892	nan	nan	18.14	0.00019983	random	256x256	4
39	0.000844	32.222986	0.885913	18.15	0.00019982	random	256x256	4
40	0.000898	nan	nan	18.24	0.00019981	random	256x256	4
41	0.000854	nan	nan	18.05	0.00019980	random	256x256	4
42	0.000844	nan	nan	18.17	0.00019979	random	256x256	4
43	0.000826	nan	nan	18.16	0.00019978	random	256x256	4
44	0.000810	nan	nan	18.22	0.00019977	random	256x256	4
45	0.000801	nan	nan	18.18	0.00019976	random	256x256	4
46	0.000820	nan	nan	18.23	0.00019975	random	256x256	4
47	0.000848	nan	nan	18.12	0.00019974	random	256x256	4
48	0.000768	nan	nan	18.30	0.00019973	random	256x256	4
49	0.000780	32.867202	0.889056	18.04	0.00019972	random	256x256	4
50	0.000778	nan	nan	18.54	0.00019971	random	256x256	4
51	0.000794	nan	nan	18.17	0.00019970	random	256x256	4
52	0.000784	nan	nan	18.10	0.00019968	random	256x256	4
53	0.000793	nan	nan	18.07	0.00019967	random	256x256	4
54	0.000807	nan	nan	18.10	0.00019966	random	256x256	4
55	0.000762	nan	nan	18.13	0.00019965	random	256x256	4
56	0.000786	nan	nan	18.08	0.00019963	random	256x256	4
57	0.000744	nan	nan	18.19	0.00019962	random	256x256	4
58	0.000726	nan	nan	18.11	0.00019961	random	256x256	4
59	0.000725	33.419129	0.895815	18.16	0.00019959	random	256x256	4
