epoch	loss	psnr	ssim	time_s	lr
0	0.008675	27.152570	0.802657	82.55	0.00020000
1	0.002388	28.401836	0.835358	58.29	0.00019995
2	0.002064	28.901889	0.849246	52.84	0.00019980
3	0.001634	29.662319	0.851730	61.79	0.00019955
4	0.001494	29.697910	0.857045	61.53	0.00019920
5	0.001417	29.958543	0.860523	57.74	0.00019875
6	0.001275	30.404352	0.865854	56.99	0.00019820
7	0.001249	30.451702	0.868280	65.94	0.00019756
8	0.001225	31.034934	0.866065	59.07	0.00019681
9	0.001156	30.680647	0.871817	63.60	0.00019597
10	0.001094	31.693816	0.877342	59.98	0.00019503
11	0.001109	30.958346	0.876809	62.00	0.00019400
12	0.001000	30.987642	0.875097	59.97	0.00019287
13	0.000988	31.964956	0.881576	57.44	0.00019165
14	0.000937	31.218522	0.877960	60.44	0.00019034
15	0.000941	31.671781	0.872623	64.24	0.00018894
16	0.000975	31.303447	0.881316	63.03	0.00018745
17	0.000920	30.962410	0.886144	60.40	0.00018587
18	0.000872	32.325623	0.884491	59.17	0.00018420
19	0.000913	32.080239	0.887469	62.43	0.00018246
20	0.000864	32.246752	0.885629	59.96	0.00018062
21	0.000857	32.173933	0.889720	57.28	0.00017871
22	0.000847	32.484620	0.893532	58.93	0.00017672
23	0.000877	32.793066	0.890946	58.42	0.00017465
24	0.000831	32.391620	0.893297	56.01	0.00017251
25	0.000794	32.133742	0.893439	57.43	0.00017030
26	0.000786	31.767411	0.894018	61.68	0.00016801
27	0.000791	32.769597	0.895959	55.99	0.00016566
28	0.000747	32.828083	0.897544	61.87	0.00016324
29	0.000760	32.027668	0.897524	58.65	0.00016076
30	0.000795	32.588438	0.897632	67.15	0.00015822
31	0.000757	32.922629	0.899281	62.85	0.00015562
32	0.000741	32.842338	0.896051	59.46	0.00015296
33	0.000755	33.144861	0.900072	60.47	0.00015025
34	0.000731	32.743191	0.899974	59.34	0.00014749
35	0.000726	32.733683	0.901084	60.50	0.00014468
36	0.000695	33.242057	0.905315	58.56	0.00014183
37	0.000714	32.753784	0.901161	57.24	0.00013894
38	0.000705	32.602282	0.903096	61.91	0.00013601
39	0.000739	32.348754	0.899282	59.29	0.00013304
40	0.000702	33.158647	0.901580	58.72	0.00013004
41	0.000655	32.725010	0.904502	61.28	0.00012701
42	0.000667	33.273038	0.903652	62.28	0.00012396
43	0.000682	33.418397	0.905232	63.61	0.00012088
44	0.000633	31.930029	0.905398	59.24	0.00011778
45	0.000668	33.285288	0.905974	59.99	0.00011466
46	0.000664	32.879864	0.906437	59.19	0.00011153
47	0.000642	33.268065	0.905161	56.49	0.00010839
48	0.000637	33.454985	0.907924	61.49	0.00010523
49	0.000632	33.388068	0.907777	60.85	0.00010208
50	0.000634	33.635474	0.906850	58.64	0.00009892
51	0.000621	33.314378	0.909485	62.54	0.00009577
52	0.000610	33.626337	0.908518	60.09	0.00009261
53	0.000608	33.704967	0.911500	64.74	0.00008947
54	0.000626	33.364513	0.910175	58.42	0.00008634
55	0.000609	33.705261	0.910716	59.06	0.00008322
56	0.000601	33.668452	0.909642	60.94	0.00008012
57	0.000600	33.703921	0.906934	64.57	0.00007704
58	0.000589	33.796233	0.909972	58.63	0.00007399
59	0.000590	33.700336	0.910950	58.52	0.00007096
60	0.000571	33.821494	0.911144	57.01	0.00006796
61	0.000581	33.841816	0.911721	62.34	0.00006499
62	0.000579	33.671093	0.909542	59.18	0.00006206
63	0.000564	33.788737	0.910773	59.82	0.00005917
64	0.000562	33.900059	0.912617	58.81	0.00005632
65	0.000574	34.034703	0.911839	58.24	0.00005351
66	0.000565	34.076342	0.911405	60.06	0.00005075
67	0.000571	34.075626	0.913205	63.10	0.00004804
68	0.000555	33.912022	0.908992	58.72	0.00004538
69	0.000570	34.018993	0.912606	60.12	0.00004278
70	0.000548	34.156754	0.915062	59.33	0.00004024
71	0.000540	34.245153	0.915009	61.23	0.00003776
72	0.000530	34.208268	0.914007	54.72	0.00003534
73	0.000538	34.124765	0.911872	64.41	0.00003299
74	0.000535	34.190108	0.912958	64.16	0.00003070
75	0.000541	34.270677	0.916051	57.83	0.00002849
76	0.000531	34.212474	0.914602	60.93	0.00002635
77	0.000541	34.274675	0.915563	58.80	0.00002428
78	0.000536	34.286579	0.915636	63.72	0.00002229
79	0.000528	34.261490	0.915403	60.79	0.00002038
80	0.000532	34.344239	0.915923	57.47	0.00001854
81	0.000520	34.286250	0.914448	58.47	0.00001680
82	0.000504	34.286555	0.915945	59.05	0.00001513
83	0.000523	34.339140	0.915704	59.03	0.00001355
84	0.000494	34.351137	0.915622	57.61	0.00001206
85	0.000501	34.361228	0.916133	64.46	0.00001066
86	0.000511	34.415034	0.916849	57.06	0.00000935
87	0.000529	34.384006	0.916427	62.90	0.00000813
88	0.000538	34.404588	0.916260	60.03	0.00000700
89	0.000525	34.370042	0.916787	61.96	0.00000597
90	0.000514	34.409318	0.916463	60.38	0.00000503
91	0.000513	34.395582	0.916752	60.24	0.00000419
92	0.000522	34.399199	0.916890	58.15	0.00000344
93	0.000517	34.405240	0.916610	61.46	0.00000280
94	0.000514	34.405740	0.916534	62.90	0.00000225
95	0.000506	34.412681	0.916707	60.57	0.00000180
96	0.000502	34.403565	0.916603	58.53	0.00000145
97	0.000507	34.406893	0.916515	60.08	0.00000120
98	0.000513	34.407703	0.916693	62.13	0.00000105
99	0.000516	34.411471	0.916654	61.40	0.00000100
