epoch	loss	psnr	ssim	time_s	lr	crop_mode	crop_size	batch_size
0	0.007854	27.266605	0.808197	114.52	0.00020000	random	96x192,192x384,384x768	1
1	0.002144	28.914802	0.845234	83.28	0.00019995	random	96x192,192x384,384x768	1
2	0.001720	29.736527	0.852850	92.47	0.00019980	random	96x192,192x384,384x768	1
3	0.001503	30.270261	0.860812	93.17	0.00019955	random	96x192,192x384,384x768	1
4	0.001327	29.960223	0.858987	93.87	0.00019920	random	96x192,192x384,384x768	1
5	0.001304	30.676776	0.865070	100.88	0.00019875	random	96x192,192x384,384x768	1
6	0.001236	30.444686	0.869892	88.09	0.00019820	random	96x192,192x384,384x768	1
7	0.001200	30.988352	0.873652	86.48	0.00019756	random	96x192,192x384,384x768	1
8	0.001131	31.369561	0.873365	92.28	0.00019681	random	96x192,192x384,384x768	1
9	0.001043	31.238632	0.870370	91.76	0.00019597	random	96x192,192x384,384x768	1
10	0.001109	31.305254	0.873217	93.17	0.00019503	random	96x192,192x384,384x768	1
11	0.001004	31.817028	0.876108	86.25	0.00019400	random	96x192,192x384,384x768	1
12	0.000984	32.014748	0.880610	94.85	0.00019287	random	96x192,192x384,384x768	1
13	0.000902	32.214576	0.884258	91.71	0.00019165	random	96x192,192x384,384x768	1
14	0.000913	31.742321	0.883422	96.52	0.00019034	random	96x192,192x384,384x768	1
15	0.000873	32.336527	0.889531	93.89	0.00018894	random	96x192,192x384,384x768	1
16	0.000924	32.120402	0.891539	90.71	0.00018745	random	96x192,192x384,384x768	1
17	0.000839	32.380750	0.889123	93.97	0.00018587	random	96x192,192x384,384x768	1
18	0.000843	32.040442	0.894543	80.07	0.00018420	random	96x192,192x384,384x768	1
19	0.000833	32.664383	0.894392	89.19	0.00018246	random	96x192,192x384,384x768	1
20	0.000792	32.476037	0.893740	91.01	0.00018062	random	96x192,192x384,384x768	1
21	0.000800	32.564080	0.896408	87.16	0.00017871	random	96x192,192x384,384x768	1
22	0.000785	32.608389	0.896229	88.27	0.00017672	random	96x192,192x384,384x768	1
23	0.000760	32.781872	0.898296	93.51	0.00017465	random	96x192,192x384,384x768	1
24	0.000795	32.838949	0.893057	88.02	0.00017251	random	96x192,192x384,384x768	1
25	0.000773	32.538801	0.897591	94.50	0.00017030	random	96x192,192x384,384x768	1
26	0.000766	31.724802	0.895297	83.77	0.00016801	random	96x192,192x384,384x768	1
27	0.000747	32.875727	0.898782	88.14	0.00016566	random	96x192,192x384,384x768	1
28	0.000729	32.996043	0.903031	91.85	0.00016324	random	96x192,192x384,384x768	1
29	0.000708	32.836984	0.895620	91.91	0.00016076	random	96x192,192x384,384x768	1
30	0.000704	32.809856	0.901059	90.37	0.00015822	random	96x192,192x384,384x768	1
31	0.000708	33.208943	0.900799	92.81	0.00015562	random	96x192,192x384,384x768	1
32	0.000686	33.220206	0.901623	89.95	0.00015296	random	96x192,192x384,384x768	1
33	0.000678	33.221623	0.905918	92.61	0.00015025	random	96x192,192x384,384x768	1
34	0.000686	32.777108	0.904061	85.19	0.00014749	random	96x192,192x384,384x768	1
35	0.000648	32.957152	0.903154	89.99	0.00014468	random	96x192,192x384,384x768	1
36	0.000648	33.483198	0.905102	91.23	0.00014183	random	96x192,192x384,384x768	1
37	0.000587	31.678985	0.904602	87.06	0.00013894	random	96x192,192x384,384x768	1
38	0.000642	33.372217	0.904933	87.78	0.00013601	random	96x192,192x384,384x768	1
39	0.000626	33.674543	0.908541	88.42	0.00013304	random	96x192,192x384,384x768	1
40	0.000624	33.285582	0.906079	83.64	0.00013004	random	96x192,192x384,384x768	1
41	0.000624	33.682787	0.906739	81.51	0.00012701	random	96x192,192x384,384x768	1
42	0.000603	33.768751	0.908472	88.32	0.00012396	random	96x192,192x384,384x768	1
43	0.000592	33.418961	0.908902	99.38	0.00012088	random	96x192,192x384,384x768	1
44	0.000626	33.538747	0.907846	81.41	0.00011778	random	96x192,192x384,384x768	1
45	0.000592	33.562926	0.910817	96.42	0.00011466	random	96x192,192x384,384x768	1
46	0.000587	33.994208	0.911274	93.37	0.00011153	random	96x192,192x384,384x768	1
47	0.000555	33.751004	0.908770	92.40	0.00010839	random	96x192,192x384,384x768	1
48	0.000563	33.986281	0.910494	90.73	0.00010523	random	96x192,192x384,384x768	1
49	0.000574	33.828499	0.911105	94.60	0.00010208	random	96x192,192x384,384x768	1
50	0.000541	33.988425	0.911174	85.49	0.00009892	random	96x192,192x384,384x768	1
51	0.000560	34.046517	0.912440	79.77	0.00009577	random	96x192,192x384,384x768	1
52	0.000558	34.135127	0.913234	92.08	0.00009261	random	96x192,192x384,384x768	1
53	0.000537	33.886360	0.913172	92.90	0.00008947	random	96x192,192x384,384x768	1
54	0.000535	34.049076	0.914509	86.47	0.00008634	random	96x192,192x384,384x768	1
55	0.000533	34.327368	0.915871	90.51	0.00008322	random	96x192,192x384,384x768	1
56	0.000523	34.318532	0.916666	89.51	0.00008012	random	96x192,192x384,384x768	1
57	0.000526	33.917016	0.914552	97.84	0.00007704	random	96x192,192x384,384x768	1
58	0.000512	34.372751	0.916553	91.40	0.00007399	random	96x192,192x384,384x768	1
59	0.000511	34.179979	0.914648	87.79	0.00007096	random	96x192,192x384,384x768	1
60	0.000513	34.374118	0.915180	88.79	0.00006796	random	96x192,192x384,384x768	1
61	0.000538	34.297939	0.917365	89.67	0.00006499	random	96x192,192x384,384x768	1
62	0.000530	34.651426	0.919435	89.56	0.00006206	random	96x192,192x384,384x768	1
63	0.000506	34.641157	0.918790	92.32	0.00005917	random	96x192,192x384,384x768	1
64	0.000495	34.607205	0.919801	87.45	0.00005632	random	96x192,192x384,384x768	1
65	0.000497	34.387674	0.918225	93.29	0.00005351	random	96x192,192x384,384x768	1
66	0.000500	34.684001	0.919007	92.87	0.00005075	random	96x192,192x384,384x768	1
67	0.000495	34.548770	0.919951	87.91	0.00004804	random	96x192,192x384,384x768	1
68	0.000488	34.705450	0.918346	88.02	0.00004538	random	96x192,192x384,384x768	1
69	0.000478	34.737668	0.918269	87.91	0.00004278	random	96x192,192x384,384x768	1
70	0.000490	34.770408	0.921044	87.03	0.00004024	random	96x192,192x384,384x768	1
71	0.000477	34.560499	0.918774	87.81	0.00003776	random	96x192,192x384,384x768	1
72	0.000479	34.800983	0.920694	87.54	0.00003534	random	96x192,192x384,384x768	1
73	0.000473	34.688459	0.919677	84.67	0.00003299	random	96x192,192x384,384x768	1
74	0.000466	34.821195	0.920089	90.08	0.00003070	random	96x192,192x384,384x768	1
