epoch	loss	psnr	ssim	time_s	lr	crop_mode	crop_size	batch_size
0	0.008497	26.631958	0.768821	132.58	0.00020000	random	96x192,192x384,384x768	1
1	0.002325	28.604161	0.829098	97.07	0.00019995	random	96x192,192x384,384x768	1
2	0.001742	29.659503	0.849034	103.04	0.00019980	random	96x192,192x384,384x768	1
3	0.001573	29.207829	0.853856	86.89	0.00019955	random	96x192,192x384,384x768	1
4	0.001449	28.917987	0.853538	96.83	0.00019920	random	96x192,192x384,384x768	1
5	0.001405	30.503126	0.864845	107.46	0.00019875	random	96x192,192x384,384x768	1
6	0.001308	30.305569	0.868727	93.81	0.00019820	random	96x192,192x384,384x768	1
7	0.001226	30.806848	0.870992	100.56	0.00019756	random	96x192,192x384,384x768	1
8	0.001101	31.113088	0.872100	103.17	0.00019681	random	96x192,192x384,384x768	1
9	0.001123	31.468283	0.866926	98.77	0.00019597	random	96x192,192x384,384x768	1
10	0.001068	31.013678	0.874990	107.28	0.00019503	random	96x192,192x384,384x768	1
11	0.000999	31.355245	0.881351	106.66	0.00019400	random	96x192,192x384,384x768	1
12	0.000929	31.672017	0.881986	98.73	0.00019287	random	96x192,192x384,384x768	1
13	0.000987	31.683002	0.882272	100.36	0.00019165	random	96x192,192x384,384x768	1
14	0.000898	32.330042	0.887037	92.66	0.00019034	random	96x192,192x384,384x768	1
15	0.000921	31.630680	0.883969	101.33	0.00018894	random	96x192,192x384,384x768	1
16	0.000961	32.418631	0.890464	98.35	0.00018745	random	96x192,192x384,384x768	1
17	0.000846	32.339690	0.887319	92.23	0.00018587	random	96x192,192x384,384x768	1
18	0.000865	32.508492	0.889316	106.83	0.00018420	random	96x192,192x384,384x768	1
19	0.000873	32.015341	0.887787	105.91	0.00018246	random	96x192,192x384,384x768	1
20	0.000801	32.171823	0.892388	99.51	0.00018062	random	96x192,192x384,384x768	1
21	0.000779	32.757365	0.891496	102.81	0.00017871	random	96x192,192x384,384x768	1
22	0.000739	31.811997	0.890590	113.91	0.00017672	random	96x192,192x384,384x768	1
23	0.000804	32.628604	0.893977	105.88	0.00017465	random	96x192,192x384,384x768	1
24	0.000753	32.708234	0.896634	96.82	0.00017251	random	96x192,192x384,384x768	1
25	0.000740	33.109593	0.898230	99.25	0.00017030	random	96x192,192x384,384x768	1
26	0.000702	32.768522	0.898555	97.42	0.00016801	random	96x192,192x384,384x768	1
27	0.000698	33.141876	0.901622	107.13	0.00016566	random	96x192,192x384,384x768	1
28	0.000689	31.155512	0.897208	98.19	0.00016324	random	96x192,192x384,384x768	1
29	0.000720	31.805550	0.898682	107.02	0.00016076	random	96x192,192x384,384x768	1
30	0.000695	31.534659	0.901082	92.77	0.00015822	random	96x192,192x384,384x768	1
31	0.000673	33.248826	0.901194	98.99	0.00015562	random	96x192,192x384,384x768	1
32	0.000677	33.316749	0.898962	95.17	0.00015296	random	96x192,192x384,384x768	1
33	0.000677	33.214131	0.898914	97.72	0.00015025	random	96x192,192x384,384x768	1
34	0.000660	33.169517	0.904802	109.12	0.00014749	random	96x192,192x384,384x768	1
35	0.000654	33.516629	0.905186	100.95	0.00014468	random	96x192,192x384,384x768	1
36	0.000626	33.403192	0.904013	106.02	0.00014183	random	96x192,192x384,384x768	1
37	0.000635	33.466485	0.905369	100.21	0.00013894	random	96x192,192x384,384x768	1
38	0.000602	32.522049	0.908991	97.68	0.00013601	random	96x192,192x384,384x768	1
39	0.000633	33.447596	0.905007	102.34	0.00013304	random	96x192,192x384,384x768	1
40	0.000636	33.604600	0.906832	104.07	0.00013004	random	96x192,192x384,384x768	1
41	0.000608	33.339426	0.904892	99.50	0.00012701	random	96x192,192x384,384x768	1
42	0.000616	33.775053	0.906998	90.57	0.00012396	random	96x192,192x384,384x768	1
43	0.000595	32.912931	0.910187	98.72	0.00012088	random	96x192,192x384,384x768	1
44	0.000569	33.791039	0.910482	94.51	0.00011778	random	96x192,192x384,384x768	1
45	0.000585	33.941495	0.908088	100.50	0.00011466	random	96x192,192x384,384x768	1
46	0.000582	33.532750	0.906181	106.38	0.00011153	random	96x192,192x384,384x768	1
47	0.000585	33.914166	0.911113	99.73	0.00010839	random	96x192,192x384,384x768	1
48	0.000570	33.872844	0.908595	94.57	0.00010523	random	96x192,192x384,384x768	1
49	0.000575	33.194636	0.908556	101.16	0.00010208	random	96x192,192x384,384x768	1
50	0.000569	34.011412	0.912106	98.54	0.00009892	random	96x192,192x384,384x768	1
51	0.000581	33.929349	0.912091	104.20	0.00009577	random	96x192,192x384,384x768	1
52	0.000557	33.931095	0.911663	102.04	0.00009261	random	96x192,192x384,384x768	1
53	0.000541	34.210797	0.911206	107.98	0.00008947	random	96x192,192x384,384x768	1
54	0.000539	34.185049	0.912977	104.68	0.00008634	random	96x192,192x384,384x768	1
55	0.000521	34.093855	0.911087	107.59	0.00008322	random	96x192,192x384,384x768	1
56	0.000536	33.869140	0.910419	102.66	0.00008012	random	96x192,192x384,384x768	1
57	0.000526	33.717041	0.910708	106.84	0.00007704	random	96x192,192x384,384x768	1
58	0.000510	34.246596	0.914437	108.66	0.00007399	random	96x192,192x384,384x768	1
59	0.000530	33.760108	0.912427	98.05	0.00007096	random	96x192,192x384,384x768	1
60	0.000529	34.269144	0.914078	99.05	0.00006796	random	96x192,192x384,384x768	1
61	0.000526	34.317912	0.915810	101.24	0.00006499	random	96x192,192x384,384x768	1
62	0.000523	34.079704	0.911386	104.07	0.00006206	random	96x192,192x384,384x768	1
63	0.000520	34.249965	0.910660	103.63	0.00005917	random	96x192,192x384,384x768	1
64	0.000492	34.325644	0.915027	101.44	0.00005632	random	96x192,192x384,384x768	1
65	0.000518	34.437312	0.915760	111.09	0.00005351	random	96x192,192x384,384x768	1
66	0.000497	34.383139	0.913609	103.59	0.00005075	random	96x192,192x384,384x768	1
67	0.000506	34.377934	0.916510	99.94	0.00004804	random	96x192,192x384,384x768	1
68	0.000499	34.458057	0.913922	94.72	0.00004538	random	96x192,192x384,384x768	1
69	0.000499	34.343043	0.913341	95.47	0.00004278	random	96x192,192x384,384x768	1
70	0.000500	34.501011	0.917872	102.25	0.00004024	random	96x192,192x384,384x768	1
71	0.000491	34.570489	0.916771	99.14	0.00003776	random	96x192,192x384,384x768	1
72	0.000469	34.563287	0.917572	102.87	0.00003534	random	96x192,192x384,384x768	1
73	0.000483	34.587033	0.916388	99.85	0.00003299	random	96x192,192x384,384x768	1
74	0.000490	34.590932	0.917398	97.37	0.00003070	random	96x192,192x384,384x768	1
75	0.000467	34.610730	0.916978	99.28	0.00002849	random	96x192,192x384,384x768	1
76	0.000474	34.533612	0.916301	93.11	0.00002635	random	96x192,192x384,384x768	1
77	0.000478	34.606365	0.916034	103.78	0.00002428	random	96x192,192x384,384x768	1
78	0.000497	34.613216	0.916962	102.93	0.00002229	random	96x192,192x384,384x768	1
79	0.000479	34.568810	0.918372	110.00	0.00002038	random	96x192,192x384,384x768	1
80	0.000481	34.666945	0.916217	100.12	0.00001854	random	96x192,192x384,384x768	1
81	0.000476	34.659067	0.916889	112.79	0.00001680	random	96x192,192x384,384x768	1
82	0.000480	34.691141	0.917198	103.78	0.00001513	random	96x192,192x384,384x768	1
83	0.000449	34.683239	0.917103	110.01	0.00001355	random	96x192,192x384,384x768	1
84	0.000470	34.697462	0.917215	103.11	0.00001206	random	96x192,192x384,384x768	1
85	0.000475	34.741751	0.917292	108.55	0.00001066	random	96x192,192x384,384x768	1
86	0.000487	34.761593	0.917778	104.01	0.00000935	random	96x192,192x384,384x768	1
87	0.000452	34.753324	0.917860	103.60	0.00000813	random	96x192,192x384,384x768	1
88	0.000457	34.740313	0.917731	99.19	0.00000700	random	96x192,192x384,384x768	1
89	0.000461	34.743010	0.917489	95.31	0.00000597	random	96x192,192x384,384x768	1
90	0.000466	34.763908	0.918058	99.27	0.00000503	random	96x192,192x384,384x768	1
91	0.000474	34.771977	0.918336	99.56	0.00000419	random	96x192,192x384,384x768	1
92	0.000458	34.785633	0.918571	107.94	0.00000344	random	96x192,192x384,384x768	1
93	0.000480	34.771469	0.918318	99.87	0.00000280	random	96x192,192x384,384x768	1
94	0.000461	34.773815	0.918223	95.35	0.00000225	random	96x192,192x384,384x768	1
95	0.000458	34.785683	0.918486	107.28	0.00000180	random	96x192,192x384,384x768	1
96	0.000467	34.789019	0.918439	105.13	0.00000145	random	96x192,192x384,384x768	1
97	0.000469	34.788712	0.918349	104.46	0.00000120	random	96x192,192x384,384x768	1
98	0.000469	34.788992	0.918399	99.08	0.00000105	random	96x192,192x384,384x768	1
99	0.000474	34.789115	0.918352	103.74	0.00000100	random	96x192,192x384,384x768	1
