epoch	loss	psnr	ssim	time_s	lr	crop_mode	crop_size
77	0.037398	27.758424	0.845178	6.19	0.00018854	random	96x192,192x384,384x768
78	0.039481	29.170393	0.849753	5.91	0.00018824	random	96x192,192x384,384x768
79	0.038224	28.605255	0.851656	5.77	0.00018794	random	96x192,192x384,384x768
80	0.039405	28.471714	0.850386	6.01	0.00018764	random	96x192,192x384,384x768
81	0.037370	27.490764	0.839296	6.24	0.00018734	random	96x192,192x384,384x768
82	0.038844	27.221607	0.849936	6.60	0.00018703	random	96x192,192x384,384x768
83	0.039697	26.152659	0.839350	5.64	0.00018672	random	96x192,192x384,384x768
84	0.036964	28.779721	0.852786	5.97	0.00018641	random	96x192,192x384,384x768
85	0.038286	25.687811	0.849861	5.59	0.00018609	random	96x192,192x384,384x768
86	0.040689	29.676129	0.856631	5.64	0.00018577	random	96x192,192x384,384x768
87	0.040349	25.976739	0.843681	5.40	0.00018544	random	96x192,192x384,384x768
88	0.037642	29.012277	0.850293	6.05	0.00018512	random	96x192,192x384,384x768
89	0.036549	26.938528	0.849890	6.32	0.00018478	random	96x192,192x384,384x768
90	0.039735	27.893996	0.853985	5.60	0.00018445	random	96x192,192x384,384x768
91	0.039491	27.667981	0.850600	5.43	0.00018411	random	96x192,192x384,384x768
92	0.038707	29.021075	0.856490	5.72	0.00018377	random	96x192,192x384,384x768
93	0.041386	26.948630	0.849004	5.03	0.00018343	random	96x192,192x384,384x768
94	0.036433	29.271386	0.852465	5.80	0.00018308	random	96x192,192x384,384x768
95	0.036551	26.658873	0.856300	6.22	0.00018273	random	96x192,192x384,384x768
96	0.039379	29.659506	0.858569	6.68	0.00018237	random	96x192,192x384,384x768
97	0.042031	28.930377	0.853903	5.26	0.00018202	random	96x192,192x384,384x768
98	0.037786	30.021956	0.858712	6.39	0.00018165	random	96x192,192x384,384x768
99	0.037676	28.282539	0.856328	4.83	0.00018129	random	96x192,192x384,384x768
100	0.034633	28.923927	0.856686	6.76	0.00018092	random	96x192,192x384,384x768
101	0.038645	28.323625	0.852098	5.41	0.00018055	random	96x192,192x384,384x768
102	0.038353	29.319227	0.859546	5.32	0.00018018	random	96x192,192x384,384x768
103	0.037223	30.431348	0.863827	6.06	0.00017980	random	96x192,192x384,384x768
104	0.036420	28.217215	0.860535	5.89	0.00017942	random	96x192,192x384,384x768
105	0.036877	29.390558	0.861887	5.44	0.00017904	random	96x192,192x384,384x768
106	0.036055	29.461699	0.860259	5.36	0.00017865	random	96x192,192x384,384x768
107	0.034668	29.657296	0.863312	6.34	0.00017826	random	96x192,192x384,384x768
108	0.035879	28.892821	0.856651	5.55	0.00017787	random	96x192,192x384,384x768
109	0.035746	27.886528	0.862669	5.61	0.00017748	random	96x192,192x384,384x768
110	0.036102	29.427083	0.860877	5.67	0.00017708	random	96x192,192x384,384x768
111	0.036264	29.935351	0.863200	6.04	0.00017668	random	96x192,192x384,384x768
112	0.036222	28.241801	0.857455	6.01	0.00017627	random	96x192,192x384,384x768
113	0.036134	30.022710	0.863014	5.71	0.00017586	random	96x192,192x384,384x768
114	0.034598	29.315079	0.862252	4.83	0.00017545	random	96x192,192x384,384x768
115	0.038653	27.276028	0.857974	5.81	0.00017504	random	96x192,192x384,384x768
116	0.035367	29.574507	0.863149	6.15	0.00017462	random	96x192,192x384,384x768
117	0.035157	29.406523	0.862885	6.12	0.00017420	random	96x192,192x384,384x768
118	0.034423	30.043607	0.864725	5.06	0.00017378	random	96x192,192x384,384x768
119	0.035393	29.569841	0.864815	4.99	0.00017336	random	96x192,192x384,384x768
120	0.035439	28.974752	0.864399	6.36	0.00017293	random	96x192,192x384,384x768
121	0.034009	28.267459	0.864151	5.89	0.00017250	random	96x192,192x384,384x768
122	0.035458	30.225968	0.863644	5.35	0.00017206	random	96x192,192x384,384x768
123	0.033219	30.780921	0.865604	5.75	0.00017163	random	96x192,192x384,384x768
124	0.035529	29.552709	0.864516	5.68	0.00017119	random	96x192,192x384,384x768
125	0.035021	28.952236	0.865173	5.70	0.00017075	random	96x192,192x384,384x768
126	0.035848	28.949253	0.867118	5.92	0.00017030	random	96x192,192x384,384x768
127	0.035809	30.127554	0.867257	4.73	0.00016985	random	96x192,192x384,384x768
128	0.033242	29.481068	0.867536	5.47	0.00016940	random	96x192,192x384,384x768
129	0.033926	28.926618	0.867242	5.49	0.00016895	random	96x192,192x384,384x768
130	0.035133	29.754024	0.864916	5.31	0.00016849	random	96x192,192x384,384x768
131	0.038393	29.616787	0.861596	4.93	0.00016803	random	96x192,192x384,384x768
132	0.034772	29.269453	0.869872	6.10	0.00016757	random	96x192,192x384,384x768
133	0.034183	30.075937	0.865866	6.37	0.00016711	random	96x192,192x384,384x768
134	0.034261	30.023740	0.866211	5.10	0.00016664	random	96x192,192x384,384x768
135	0.035719	29.790795	0.866162	5.91	0.00016617	random	96x192,192x384,384x768
136	0.035185	29.938421	0.863420	6.36	0.00016570	random	96x192,192x384,384x768
137	0.033737	30.365330	0.870958	5.41	0.00016523	random	96x192,192x384,384x768
138	0.034150	27.428338	0.867701	5.52	0.00016475	random	96x192,192x384,384x768
139	0.036272	29.615859	0.866070	5.90	0.00016427	random	96x192,192x384,384x768
140	0.032701	29.853961	0.868298	6.38	0.00016379	random	96x192,192x384,384x768
141	0.033613	28.842901	0.867695	6.24	0.00016330	random	96x192,192x384,384x768
142	0.038100	30.242756	0.869670	5.26	0.00016282	random	96x192,192x384,384x768
143	0.036577	29.659482	0.867971	5.70	0.00016233	random	96x192,192x384,384x768
144	0.033370	29.369009	0.867720	6.37	0.00016184	random	96x192,192x384,384x768
145	0.033267	30.123305	0.869478	5.75	0.00016134	random	96x192,192x384,384x768
146	0.033433	30.126527	0.869967	5.43	0.00016084	random	96x192,192x384,384x768
147	0.032954	28.407166	0.869147	6.01	0.00016034	random	96x192,192x384,384x768
148	0.036928	30.094131	0.871742	5.97	0.00015984	random	96x192,192x384,384x768
149	0.034335	30.054864	0.873953	5.47	0.00015934	random	96x192,192x384,384x768
150	0.033800	28.285505	0.864073	6.48	0.00015883	random	96x192,192x384,384x768
