epoch	loss	psnr	ssim	time_s	lr
0	0.007557	26.833064	0.774921	86.86	0.00020000
1	0.002437	28.803682	0.840725	63.47	0.00019995
2	0.001799	29.856991	0.854464	73.27	0.00019980
3	0.001520	29.845622	0.858923	74.41	0.00019955
4	0.001380	30.171880	0.862082	70.82	0.00019920
5	0.001343	30.563372	0.868379	70.21	0.00019875
6	0.001261	30.689332	0.870790	73.17	0.00019820
7	0.001146	30.878764	0.871490	64.92	0.00019756
8	0.001060	30.752862	0.877065	70.98	0.00019681
9	0.001104	31.205064	0.873900	63.72	0.00019597
10	0.001044	31.611771	0.879431	71.17	0.00019503
11	0.000938	31.695450	0.883336	70.82	0.00019400
12	0.000942	31.992517	0.881771	67.48	0.00019287
13	0.000907	31.928754	0.886228	70.06	0.00019165
14	0.000888	31.954323	0.889077	69.97	0.00019034
15	0.000862	32.134329	0.889806	62.13	0.00018894
16	0.000866	32.416633	0.889806	70.17	0.00018745
17	0.000852	32.390201	0.894694	68.24	0.00018587
18	0.000814	32.247988	0.893458	66.63	0.00018420
19	0.000920	30.774240	0.886359	69.48	0.00018246
20	0.000841	32.205691	0.894515	62.43	0.00018062
21	0.000844	32.413770	0.895036	63.23	0.00017871
22	0.000782	32.720971	0.897429	68.36	0.00017672
23	0.000774	32.702126	0.898189	64.68	0.00017465
24	0.000787	32.302461	0.892111	67.80	0.00017251
25	0.000765	32.944842	0.899876	68.11	0.00017030
26	0.000729	32.514729	0.899225	70.27	0.00016801
27	0.000748	33.211913	0.903239	67.92	0.00016566
28	0.000771	32.772762	0.901829	65.16	0.00016324
29	0.000770	32.676612	0.902642	70.76	0.00016076
30	0.000696	33.130721	0.902103	69.67	0.00015822
31	0.000701	33.081057	0.904575	66.76	0.00015562
32	0.000754	32.972935	0.904275	69.84	0.00015296
33	0.000707	33.010565	0.902440	69.26	0.00015025
34	0.000671	33.360525	0.905629	69.12	0.00014749
35	0.000650	33.398599	0.903965	76.09	0.00014468
36	0.000647	33.177171	0.907943	67.63	0.00014183
37	0.000660	33.500814	0.907262	66.68	0.00013894
38	0.000679	33.387161	0.906144	68.37	0.00013601
39	0.000613	33.455498	0.903700	72.96	0.00013304
40	0.000605	33.456603	0.906387	73.77	0.00013004
41	0.000622	33.425090	0.904825	69.43	0.00012701
42	0.000616	33.177455	0.907488	61.44	0.00012396
43	0.000583	33.524850	0.906390	67.63	0.00012088
44	0.000578	33.906419	0.911112	72.98	0.00011778
45	0.000606	33.788284	0.912103	64.09	0.00011466
46	0.000609	33.835668	0.910726	67.65	0.00011153
47	0.000579	33.970579	0.912571	67.10	0.00010839
48	0.000554	33.954121	0.911717	65.79	0.00010523
49	0.000595	33.629585	0.906892	71.20	0.00010208
50	0.000596	33.622642	0.912541	69.79	0.00009892
51	0.000563	33.806758	0.911900	70.52	0.00009577
52	0.000579	33.896464	0.914060	64.14	0.00009261
53	0.000586	33.741258	0.905097	61.12	0.00008947
54	0.000563	34.000628	0.913110	67.96	0.00008634
55	0.000561	34.065392	0.914624	67.69	0.00008322
56	0.000542	33.753318	0.913495	70.51	0.00008012
57	0.000547	34.013416	0.911278	67.16	0.00007704
58	0.000514	34.191090	0.915311	72.78	0.00007399
59	0.000527	34.209358	0.915135	70.59	0.00007096
60	0.000569	34.378179	0.915370	72.17	0.00006796
61	0.000527	34.325220	0.915127	66.50	0.00006499
62	0.000546	34.302997	0.916625	69.40	0.00006206
63	0.000539	34.275656	0.916211	69.54	0.00005917
64	0.000520	34.374161	0.916227	76.88	0.00005632
65	0.000515	34.407113	0.917219	60.06	0.00005351
66	0.000504	34.431297	0.919477	71.87	0.00005075
67	0.000507	34.331353	0.918435	63.21	0.00004804
68	0.000496	34.471649	0.918497	68.45	0.00004538
69	0.000503	34.522584	0.920348	66.61	0.00004278
70	0.000493	34.532460	0.919003	68.78	0.00004024
71	0.000503	34.571466	0.918555	65.83	0.00003776
72	0.000495	34.673200	0.920153	67.11	0.00003534
73	0.000495	34.606079	0.918890	67.14	0.00003299
74	0.000491	34.625702	0.918886	67.26	0.00003070
75	0.000488	34.718859	0.920249	75.12	0.00002849
76	0.000474	34.707922	0.919041	67.55	0.00002635
77	0.000485	34.657408	0.919986	72.19	0.00002428
78	0.000494	34.627733	0.918472	67.71	0.00002229
79	0.000497	34.791790	0.920991	68.32	0.00002038
80	0.000487	34.708475	0.921169	65.36	0.00001854
81	0.000482	34.730613	0.920127	64.19	0.00001680
82	0.000476	34.754402	0.920368	68.21	0.00001513
83	0.000472	34.815507	0.921529	71.93	0.00001355
84	0.000484	34.842040	0.921610	71.79	0.00001206
85	0.000456	34.828135	0.921385	72.70	0.00001066
86	0.000487	34.827879	0.921606	67.23	0.00000935
87	0.000466	34.823519	0.921446	74.66	0.00000813
88	0.000471	34.855198	0.922133	76.21	0.00000700
89	0.000480	34.881967	0.922122	72.10	0.00000597
90	0.000489	34.900148	0.922529	67.11	0.00000503
91	0.000468	34.893671	0.922910	66.54	0.00000419
92	0.000468	34.898594	0.922914	70.72	0.00000344
93	0.000478	34.913086	0.922999	68.34	0.00000280
94	0.000473	34.906418	0.922745	70.28	0.00000225
95	0.000469	34.911721	0.922917	66.45	0.00000180
96	0.000471	34.908553	0.922929	67.04	0.00000145
97	0.000487	34.910735	0.922856	65.96	0.00000120
98	0.000476	34.910357	0.922827	63.88	0.00000105
99	0.000470	34.901024	0.922788	70.73	0.00000100
