epoch	loss	psnr	ssim	time_s	lr	crop_mode	crop_size	batch_size
0	0.006517	27.996262	0.820875	82.18	0.00020000	random	96x192,192x384,384x768	1
1	0.002113	29.149195	0.840638	69.02	0.00019995	random	96x192,192x384,384x768	1
2	0.001541	29.934494	0.853164	68.57	0.00019980	random	96x192,192x384,384x768	1
3	0.001456	29.461210	0.862126	71.66	0.00019955	random	96x192,192x384,384x768	1
4	0.001259	30.842266	0.864976	69.04	0.00019920	random	96x192,192x384,384x768	1
5	0.001104	30.393955	0.872658	71.37	0.00019875	random	96x192,192x384,384x768	1
6	0.001137	30.195996	0.872423	72.20	0.00019820	random	96x192,192x384,384x768	1
7	0.001078	31.684870	0.875122	72.24	0.00019756	random	96x192,192x384,384x768	1
8	0.001064	31.867589	0.879943	68.26	0.00019681	random	96x192,192x384,384x768	1
9	0.001028	31.201925	0.878675	68.70	0.00019597	random	96x192,192x384,384x768	1
10	0.000944	31.860102	0.881069	64.55	0.00019503	random	96x192,192x384,384x768	1
11	0.000953	31.710997	0.882796	71.60	0.00019400	random	96x192,192x384,384x768	1
12	0.000975	31.735775	0.879888	69.08	0.00019287	random	96x192,192x384,384x768	1
13	0.000900	31.556184	0.885240	70.71	0.00019165	random	96x192,192x384,384x768	1
14	0.000992	31.331371	0.883658	77.71	0.00019034	random	96x192,192x384,384x768	1
15	0.000903	32.030543	0.880278	66.70	0.00018894	random	96x192,192x384,384x768	1
16	0.000866	32.619588	0.890855	75.17	0.00018745	random	96x192,192x384,384x768	1
17	0.000847	31.828571	0.889163	65.08	0.00018587	random	96x192,192x384,384x768	1
18	0.000988	32.064401	0.887805	70.36	0.00018420	random	96x192,192x384,384x768	1
19	0.000826	31.963534	0.891321	64.91	0.00018246	random	96x192,192x384,384x768	1
20	0.000865	32.502928	0.894096	71.60	0.00018062	random	96x192,192x384,384x768	1
21	0.000804	32.697669	0.895632	73.37	0.00017871	random	96x192,192x384,384x768	1
22	0.000799	32.618104	0.897130	69.22	0.00017672	random	96x192,192x384,384x768	1
23	0.000785	32.551563	0.897372	73.56	0.00017465	random	96x192,192x384,384x768	1
24	0.000756	32.624798	0.895799	73.57	0.00017251	random	96x192,192x384,384x768	1
25	0.000778	31.946893	0.895717	66.16	0.00017030	random	96x192,192x384,384x768	1
26	0.000777	32.563024	0.897987	70.82	0.00016801	random	96x192,192x384,384x768	1
27	0.000773	32.560877	0.898555	67.71	0.00016566	random	96x192,192x384,384x768	1
28	0.000742	32.242683	0.896757	72.34	0.00016324	random	96x192,192x384,384x768	1
29	0.000735	32.062344	0.900401	63.71	0.00016076	random	96x192,192x384,384x768	1
30	0.000724	32.700430	0.900513	71.24	0.00015822	random	96x192,192x384,384x768	1
31	0.000741	33.070385	0.902520	67.24	0.00015562	random	96x192,192x384,384x768	1
32	0.000658	32.926835	0.900547	73.51	0.00015296	random	96x192,192x384,384x768	1
33	0.000683	33.231805	0.899720	70.75	0.00015025	random	96x192,192x384,384x768	1
34	0.000660	32.471371	0.902535	71.39	0.00014749	random	96x192,192x384,384x768	1
35	0.000661	33.219991	0.905384	69.78	0.00014468	random	96x192,192x384,384x768	1
36	nan	33.446671	0.908405	70.29	0.00014183	random	96x192,192x384,384x768	1
37	0.000663	33.467338	0.905715	72.02	0.00013894	random	96x192,192x384,384x768	1
38	0.000649	33.636094	0.910393	65.12	0.00013601	random	96x192,192x384,384x768	1
39	0.000596	33.337242	0.910284	71.35	0.00013304	random	96x192,192x384,384x768	1
40	0.000623	33.211777	0.911598	72.06	0.00013004	random	96x192,192x384,384x768	1
41	0.000616	33.917462	0.910571	70.81	0.00012701	random	96x192,192x384,384x768	1
42	0.000581	33.783137	0.911795	65.48	0.00012396	random	96x192,192x384,384x768	1
43	0.000597	33.795379	0.911842	67.31	0.00012088	random	96x192,192x384,384x768	1
44	0.000551	33.882500	0.910574	69.44	0.00011778	random	96x192,192x384,384x768	1
45	0.000556	34.076248	0.912948	68.49	0.00011466	random	96x192,192x384,384x768	1
46	0.000571	34.280954	0.914611	69.17	0.00011153	random	96x192,192x384,384x768	1
47	0.000559	33.999315	0.915449	70.48	0.00010839	random	96x192,192x384,384x768	1
48	0.000540	33.841023	0.912649	61.89	0.00010523	random	96x192,192x384,384x768	1
49	0.000535	34.321674	0.916287	69.79	0.00010208	random	96x192,192x384,384x768	1
50	0.000537	34.457182	0.918488	70.59	0.00009892	random	96x192,192x384,384x768	1
51	0.000495	34.128490	0.916955	72.69	0.00009577	random	96x192,192x384,384x768	1
52	0.000502	34.364149	0.919413	77.98	0.00009261	random	96x192,192x384,384x768	1
53	0.000505	34.169948	0.918352	72.14	0.00008947	random	96x192,192x384,384x768	1
54	0.000533	33.771188	0.915166	62.98	0.00008634	random	96x192,192x384,384x768	1
55	nan	34.467171	0.918250	68.02	0.00008322	random	96x192,192x384,384x768	1
56	0.000496	34.519791	0.921076	66.12	0.00008012	random	96x192,192x384,384x768	1
57	0.000483	34.523234	0.917891	70.56	0.00007704	random	96x192,192x384,384x768	1
58	0.000483	34.573480	0.918349	68.04	0.00007399	random	96x192,192x384,384x768	1
59	0.000463	34.468932	0.920236	66.50	0.00007096	random	96x192,192x384,384x768	1
60	0.000496	34.343451	0.920858	69.77	0.00006796	random	96x192,192x384,384x768	1
61	0.000491	34.533817	0.917059	73.46	0.00006499	random	96x192,192x384,384x768	1
62	0.000510	34.304003	0.922093	66.57	0.00006206	random	96x192,192x384,384x768	1
63	0.000494	34.910077	0.923233	74.38	0.00005917	random	96x192,192x384,384x768	1
64	0.000469	34.819326	0.922187	73.19	0.00005632	random	96x192,192x384,384x768	1
65	0.000461	34.761396	0.920974	65.18	0.00005351	random	96x192,192x384,384x768	1
66	0.000472	34.778425	0.922817	70.05	0.00005075	random	96x192,192x384,384x768	1
67	0.000474	34.682056	0.918674	65.47	0.00004804	random	96x192,192x384,384x768	1
68	0.000484	34.868368	0.921830	66.06	0.00004538	random	96x192,192x384,384x768	1
69	0.000435	34.847144	0.922327	68.05	0.00004278	random	96x192,192x384,384x768	1
70	0.000468	34.935824	0.922044	75.30	0.00004024	random	96x192,192x384,384x768	1
71	0.000455	34.949890	0.922498	65.71	0.00003776	random	96x192,192x384,384x768	1
72	0.000463	34.860872	0.922644	68.87	0.00003534	random	96x192,192x384,384x768	1
73	0.000448	34.843618	0.921911	64.32	0.00003299	random	96x192,192x384,384x768	1
74	0.000454	34.901273	0.922544	73.30	0.00003070	random	96x192,192x384,384x768	1
75	0.000449	34.956472	0.923678	67.16	0.00002849	random	96x192,192x384,384x768	1
76	0.000457	35.014248	0.922157	76.76	0.00002635	random	96x192,192x384,384x768	1
77	0.000450	34.953534	0.922686	66.26	0.00002428	random	96x192,192x384,384x768	1
78	0.000461	34.998132	0.922232	59.35	0.00002229	random	96x192,192x384,384x768	1
79	0.000442	35.037646	0.922944	68.35	0.00002038	random	96x192,192x384,384x768	1
80	0.000459	35.044910	0.924949	71.94	0.00001854	random	96x192,192x384,384x768	1
81	0.000448	35.035587	0.923689	70.66	0.00001680	random	96x192,192x384,384x768	1
82	0.000436	35.069039	0.923393	68.28	0.00001513	random	96x192,192x384,384x768	1
83	0.000412	35.040072	0.922707	66.28	0.00001355	random	96x192,192x384,384x768	1
84	0.000429	35.034668	0.922640	68.62	0.00001206	random	96x192,192x384,384x768	1
85	0.000433	35.059209	0.923067	75.94	0.00001066	random	96x192,192x384,384x768	1
86	0.000430	35.090233	0.923539	69.40	0.00000935	random	96x192,192x384,384x768	1
87	0.000431	35.073015	0.923364	66.66	0.00000813	random	96x192,192x384,384x768	1
