epoch	loss	psnr	ssim	time_s	lr
0	0.008406	26.572315	0.787745	103.32	0.00020000
1	0.002484	28.137008	0.827018	82.87	0.00019995
2	0.001802	29.288438	0.851797	82.82	0.00019980
3	0.001489	29.979863	0.859149	76.19	0.00019955
4	0.001357	30.328920	0.856797	87.17	0.00019920
5	0.001317	30.471177	0.871035	83.71	0.00019875
6	0.001252	31.010914	0.872321	77.86	0.00019820
7	0.001244	31.287136	0.871671	83.92	0.00019756
8	0.001101	30.968116	0.867555	76.02	0.00019681
9	0.001032	31.527914	0.875544	74.21	0.00019597
10	0.001152	28.626686	0.879123	83.66	0.00019503
11	0.001028	31.823747	0.876561	81.70	0.00019400
12	0.000931	32.046686	0.878791	79.42	0.00019287
13	0.000970	30.559668	0.874074	86.33	0.00019165
14	0.000929	30.985995	0.886332	78.85	0.00019034
15	0.000899	31.291405	0.885534	79.90	0.00018894
16	0.000899	31.796190	0.885417	74.38	0.00018745
17	0.000871	32.130232	0.885598	84.13	0.00018587
18	0.000830	32.323300	0.890417	81.20	0.00018420
19	0.000836	32.003315	0.891621	82.05	0.00018246
20	0.000845	32.537367	0.893974	80.32	0.00018062
21	0.000860	31.525361	0.891462	90.56	0.00017871
22	0.000789	32.020978	0.894229	81.83	0.00017672
23	0.000785	32.589049	0.896866	80.82	0.00017465
24	0.000777	32.086731	0.895818	82.18	0.00017251
25	0.000792	32.526921	0.896636	78.66	0.00017030
26	0.000753	32.943754	0.897152	81.60	0.00016801
27	0.000746	32.140058	0.897578	79.20	0.00016566
28	0.000753	32.840184	0.895754	75.95	0.00016324
29	0.000741	33.033144	0.897218	78.74	0.00016076
30	0.000732	32.796029	0.898970	87.18	0.00015822
31	0.000711	32.098441	0.899857	79.57	0.00015562
32	0.000717	33.199351	0.901942	87.27	0.00015296
33	0.000715	32.281655	0.898332	87.65	0.00015025
34	0.000663	32.801986	0.900681	85.67	0.00014749
35	0.000709	32.990970	0.900459	82.31	0.00014468
36	0.000661	33.401599	0.905545	84.30	0.00014183
37	0.000652	33.369480	0.905573	85.50	0.00013894
38	0.000665	33.264481	0.906678	85.85	0.00013601
39	0.000665	33.388902	0.903815	76.98	0.00013304
40	0.000638	32.908549	0.905894	80.11	0.00013004
41	0.000630	33.385373	0.905049	88.02	0.00012701
42	0.000640	33.670286	0.907795	83.61	0.00012396
43	0.000625	33.242174	0.909214	88.15	0.00012088
44	0.000600	33.462084	0.909556	80.55	0.00011778
45	0.000627	33.796917	0.912502	87.30	0.00011466
46	0.000642	33.597916	0.910587	86.99	0.00011153
47	0.000587	33.810174	0.912988	89.13	0.00010839
48	0.000587	33.649707	0.911054	76.31	0.00010523
49	0.000597	33.907435	0.912168	83.49	0.00010208
50	0.000584	33.990488	0.911871	85.87	0.00009892
51	0.000594	33.987605	0.913952	82.50	0.00009577
52	0.000556	33.980178	0.910219	79.95	0.00009261
53	0.000561	33.979241	0.914351	86.86	0.00008947
54	0.000551	34.227980	0.912932	78.00	0.00008634
55	0.000572	34.076137	0.915158	80.55	0.00008322
56	0.000554	33.518078	0.916440	79.12	0.00008012
57	0.000558	34.357277	0.916180	82.66	0.00007704
58	0.000537	34.255655	0.913241	81.01	0.00007399
59	0.000534	34.334419	0.915849	75.72	0.00007096
60	0.000521	34.340837	0.917569	81.44	0.00006796
61	0.000520	34.324693	0.918686	74.24	0.00006499
62	0.000532	34.581959	0.919835	85.04	0.00006206
63	0.000527	34.518305	0.919218	79.29	0.00005917
64	0.000503	34.452463	0.916691	84.52	0.00005632
65	0.000520	34.381157	0.918862	79.13	0.00005351
66	0.000500	34.655820	0.921101	79.68	0.00005075
67	0.000515	34.548481	0.918539	73.57	0.00004804
68	0.000504	34.511985	0.919569	84.65	0.00004538
69	0.000489	34.654294	0.919888	88.95	0.00004278
70	0.000493	34.715229	0.920141	75.22	0.00004024
71	0.000492	34.581788	0.920468	85.41	0.00003776
72	0.000508	34.465120	0.919521	87.88	0.00003534
73	0.000492	34.691872	0.919376	81.70	0.00003299
74	0.000499	34.735135	0.919947	78.32	0.00003070
75	0.000488	34.735702	0.920176	80.32	0.00002849
76	0.000505	34.802643	0.921531	82.89	0.00002635
77	0.000486	34.845061	0.920423	90.62	0.00002428
78	0.000482	34.776247	0.921069	81.68	0.00002229
79	0.000467	34.814418	0.921053	83.61	0.00002038
80	0.000463	34.780624	0.920418	87.20	0.00001854
81	0.000481	34.762788	0.920286	80.33	0.00001680
82	0.000487	34.824085	0.920108	82.52	0.00001513
83	0.000478	34.833619	0.919828	75.60	0.00001355
84	0.000482	34.873738	0.921337	81.54	0.00001206
85	0.000478	34.866765	0.921577	81.58	0.00001066
86	0.000477	34.873866	0.921453	79.11	0.00000935
87	0.000480	34.842548	0.921227	79.48	0.00000813
88	0.000479	34.846418	0.920796	80.38	0.00000700
89	0.000481	34.866684	0.921057	83.07	0.00000597
90	0.000477	34.874126	0.921004	83.11	0.00000503
91	0.000460	34.870765	0.920994	85.93	0.00000419
92	0.000480	34.873973	0.921216	78.88	0.00000344
93	0.000473	34.890125	0.921423	94.36	0.00000280
94	0.000471	34.867806	0.921114	79.67	0.00000225
95	0.000471	34.859003	0.921129	80.76	0.00000180
96	0.000467	34.865764	0.921197	86.90	0.00000145
97	0.000488	34.879710	0.921381	89.55	0.00000120
98	0.000470	34.876503	0.921395	79.69	0.00000105
99	0.000478	34.875345	0.921281	79.41	0.00000100
