epoch	loss	psnr	ssim	time_s	lr	crop_mode	crop_size	batch_size
0	0.006445	27.196941	0.797740	110.61	0.00020000	random	96x192,192x384,384x768	1
1	0.002225	28.674318	0.830830	76.52	0.00019995	random	96x192,192x384,384x768	1
2	0.001632	29.277463	0.845487	74.54	0.00019980	random	96x192,192x384,384x768	1
3	0.001480	29.444839	0.848021	78.23	0.00019955	random	96x192,192x384,384x768	1
4	0.001232	30.603364	0.860797	82.72	0.00019920	random	96x192,192x384,384x768	1
5	0.001171	31.156305	0.866199	79.53	0.00019875	random	96x192,192x384,384x768	1
6	0.001174	31.089180	0.870643	78.37	0.00019820	random	96x192,192x384,384x768	1
7	0.001143	30.741361	0.869769	82.07	0.00019756	random	96x192,192x384,384x768	1
8	0.001056	30.775614	0.873112	82.20	0.00019681	random	96x192,192x384,384x768	1
9	0.001040	31.607731	0.874758	79.56	0.00019597	random	96x192,192x384,384x768	1
10	0.000996	31.421217	0.876277	84.40	0.00019503	random	96x192,192x384,384x768	1
11	0.000960	31.454028	0.880824	78.34	0.00019400	random	96x192,192x384,384x768	1
12	0.000942	32.070832	0.883748	76.45	0.00019287	random	96x192,192x384,384x768	1
13	0.001111	32.309807	0.875627	80.35	0.00019165	random	96x192,192x384,384x768	1
14	0.000916	32.324702	0.887931	81.19	0.00019034	random	96x192,192x384,384x768	1
15	0.000849	32.309854	0.885320	88.88	0.00018894	random	96x192,192x384,384x768	1
16	0.000809	32.265943	0.890139	79.75	0.00018745	random	96x192,192x384,384x768	1
17	0.000839	31.898569	0.883487	81.46	0.00018587	random	96x192,192x384,384x768	1
18	0.000800	32.361200	0.893167	79.51	0.00018420	random	96x192,192x384,384x768	1
19	0.000746	32.739830	0.889434	75.46	0.00018246	random	96x192,192x384,384x768	1
20	0.000769	32.636926	0.891254	84.91	0.00018062	random	96x192,192x384,384x768	1
21	0.000816	32.707490	0.895260	81.78	0.00017871	random	96x192,192x384,384x768	1
22	0.000737	33.013935	0.900879	86.62	0.00017672	random	96x192,192x384,384x768	1
23	0.000717	32.141716	0.901470	81.51	0.00017465	random	96x192,192x384,384x768	1
24	0.000717	32.773391	0.903101	86.09	0.00017251	random	96x192,192x384,384x768	1
25	0.000698	32.303138	0.898572	85.57	0.00017030	random	96x192,192x384,384x768	1
26	0.000696	32.878232	0.903985	74.09	0.00016801	random	96x192,192x384,384x768	1
27	0.000668	33.161086	0.903817	78.81	0.00016566	random	96x192,192x384,384x768	1
28	0.000671	32.803588	0.904683	78.88	0.00016324	random	96x192,192x384,384x768	1
29	0.000741	33.289706	0.904381	80.62	0.00016076	random	96x192,192x384,384x768	1
30	0.000660	33.003382	0.904497	77.52	0.00015822	random	96x192,192x384,384x768	1
31	0.000650	33.263173	0.904263	78.18	0.00015562	random	96x192,192x384,384x768	1
