epoch	loss	psnr	ssim	time_s	lr	crop_mode	crop_size	batch_size
0	0.008824	27.130118	0.804075	119.35	0.00020000	random	96x192,192x384,384x768	1
1	0.002532	28.424098	0.834939	74.59	0.00019995	random	96x192,192x384,384x768	1
2	0.001822	29.505086	0.853055	88.59	0.00019980	random	96x192,192x384,384x768	1
3	0.001526	30.103605	0.857111	88.01	0.00019955	random	96x192,192x384,384x768	1
4	0.001437	30.437412	0.866478	84.63	0.00019920	random	96x192,192x384,384x768	1
5	0.001292	30.783232	0.867061	83.58	0.00019875	random	96x192,192x384,384x768	1
6	0.001243	31.147543	0.871061	82.72	0.00019820	random	96x192,192x384,384x768	1
7	0.001122	31.151525	0.872615	85.29	0.00019756	random	96x192,192x384,384x768	1
8	0.001085	31.316464	0.874569	80.35	0.00019681	random	96x192,192x384,384x768	1
9	0.001203	31.548429	0.874943	87.87	0.00019597	random	96x192,192x384,384x768	1
10	0.001038	31.411874	0.876024	85.92	0.00019503	random	96x192,192x384,384x768	1
11	0.001006	31.745142	0.882897	83.85	0.00019400	random	96x192,192x384,384x768	1
12	0.000961	31.931762	0.873855	79.04	0.00019287	random	96x192,192x384,384x768	1
13	0.000961	31.441612	0.881388	83.76	0.00019165	random	96x192,192x384,384x768	1
14	0.000980	32.005962	0.883908	82.40	0.00019034	random	96x192,192x384,384x768	1
15	0.000917	32.453130	0.889076	78.60	0.00018894	random	96x192,192x384,384x768	1
16	0.000908	31.528416	0.887220	86.99	0.00018745	random	96x192,192x384,384x768	1
17	0.000891	31.725986	0.890088	91.40	0.00018587	random	96x192,192x384,384x768	1
18	0.000862	32.351032	0.891174	81.72	0.00018420	random	96x192,192x384,384x768	1
19	0.000830	32.450565	0.892752	85.49	0.00018246	random	96x192,192x384,384x768	1
20	0.000838	32.108934	0.893686	87.58	0.00018062	random	96x192,192x384,384x768	1
21	0.000802	32.784232	0.895274	87.94	0.00017871	random	96x192,192x384,384x768	1
22	0.000793	32.351764	0.896444	85.14	0.00017672	random	96x192,192x384,384x768	1
23	0.000803	32.615285	0.896859	80.62	0.00017465	random	96x192,192x384,384x768	1
24	0.000800	31.512551	0.893495	91.90	0.00017251	random	96x192,192x384,384x768	1
25	0.000761	32.837974	0.899660	79.95	0.00017030	random	96x192,192x384,384x768	1
26	0.000780	32.222043	0.895262	87.10	0.00016801	random	96x192,192x384,384x768	1
27	0.000755	32.401411	0.899167	84.04	0.00016566	random	96x192,192x384,384x768	1
28	0.000753	30.870804	0.899160	92.18	0.00016324	random	96x192,192x384,384x768	1
29	0.000728	33.248315	0.902497	81.72	0.00016076	random	96x192,192x384,384x768	1
30	0.000730	33.128902	0.903187	80.01	0.00015822	random	96x192,192x384,384x768	1
31	0.000687	32.770299	0.901821	82.74	0.00015562	random	96x192,192x384,384x768	1
32	0.000720	32.735927	0.902213	88.50	0.00015296	random	96x192,192x384,384x768	1
33	0.000721	32.361799	0.900452	83.98	0.00015025	random	96x192,192x384,384x768	1
34	0.000712	33.195825	0.903682	80.06	0.00014749	random	96x192,192x384,384x768	1
35	0.000667	33.248665	0.907015	86.06	0.00014468	random	96x192,192x384,384x768	1
36	0.000667	33.200012	0.903119	84.01	0.00014183	random	96x192,192x384,384x768	1
37	0.000681	33.379873	0.905450	83.26	0.00013894	random	96x192,192x384,384x768	1
38	0.000666	33.135667	0.907799	86.76	0.00013601	random	96x192,192x384,384x768	1
39	0.000648	32.578840	0.893000	77.22	0.00013304	random	96x192,192x384,384x768	1
40	0.000667	33.655953	0.907522	88.26	0.00013004	random	96x192,192x384,384x768	1
41	0.000640	33.434843	0.906989	82.80	0.00012701	random	96x192,192x384,384x768	1
42	0.000638	33.393872	0.906467	79.82	0.00012396	random	96x192,192x384,384x768	1
43	0.000647	33.745777	0.908743	82.69	0.00012088	random	96x192,192x384,384x768	1
44	0.000625	33.697635	0.908308	86.73	0.00011778	random	96x192,192x384,384x768	1
45	0.000620	33.793508	0.910609	83.73	0.00011466	random	96x192,192x384,384x768	1
46	0.000638	33.141358	0.907943	86.28	0.00011153	random	96x192,192x384,384x768	1
47	0.000616	33.887278	0.910269	81.96	0.00010839	random	96x192,192x384,384x768	1
48	0.000601	33.364680	0.905899	87.37	0.00010523	random	96x192,192x384,384x768	1
49	0.000597	33.695170	0.907286	85.64	0.00010208	random	96x192,192x384,384x768	1
50	0.000590	33.893104	0.908810	81.21	0.00009892	random	96x192,192x384,384x768	1
51	0.000595	34.081762	0.913411	76.76	0.00009577	random	96x192,192x384,384x768	1
52	0.000566	33.882784	0.911272	86.74	0.00009261	random	96x192,192x384,384x768	1
53	0.000579	33.932974	0.910244	81.34	0.00008947	random	96x192,192x384,384x768	1
