epoch	loss	psnr	ssim	time_s	lr	crop_mode	crop_size	batch_size
0	0.009091	26.809109	0.786299	157.60	0.00020000	random	96x192,192x384,384x768	1
1	0.002280	28.931060	0.838895	123.71	0.00020000	random	96x192,192x384,384x768	1
2	0.001693	29.047117	0.855146	125.11	0.00020000	random	96x192,192x384,384x768	1
3	0.001374	30.418776	0.864455	126.65	0.00020000	random	96x192,192x384,384x768	1
4	0.001342	30.582042	0.868088	122.95	0.00019999	random	96x192,192x384,384x768	1
5	0.001199	31.227521	0.870895	124.35	0.00019999	random	96x192,192x384,384x768	1
6	0.001127	31.298383	0.873241	125.35	0.00019998	random	96x192,192x384,384x768	1
7	0.001105	30.786750	0.877210	125.01	0.00019998	random	96x192,192x384,384x768	1
8	0.000950	31.400036	0.878214	125.76	0.00019997	random	96x192,192x384,384x768	1
9	0.001004	31.994129	0.881205	123.55	0.00019996	random	96x192,192x384,384x768	1
10	0.000968	32.153255	0.883933	121.95	0.00019995	random	96x192,192x384,384x768	1
11	0.000967	32.169803	0.885927	126.93	0.00019994	random	96x192,192x384,384x768	1
12	0.000868	31.787795	0.890880	126.59	0.00019993	random	96x192,192x384,384x768	1
13	0.000857	32.260359	0.893221	125.03	0.00019992	random	96x192,192x384,384x768	1
14	0.000834	32.289701	0.894056	128.76	0.00019991	random	96x192,192x384,384x768	1
15	0.000794	32.675470	0.898001	129.73	0.00019989	random	96x192,192x384,384x768	1
16	0.000867	32.516236	0.897618	123.12	0.00019988	random	96x192,192x384,384x768	1
17	0.000797	32.813032	0.899348	129.33	0.00019986	random	96x192,192x384,384x768	1
18	0.000845	31.799055	0.892921	121.20	0.00019985	random	96x192,192x384,384x768	1
19	0.000765	32.741469	0.900008	134.01	0.00019983	random	96x192,192x384,384x768	1
20	0.000796	32.467671	0.894688	131.43	0.00019981	random	96x192,192x384,384x768	1
21	0.000797	32.129985	0.897229	124.20	0.00019979	random	96x192,192x384,384x768	1
22	0.000741	33.269792	0.900973	130.56	0.00019977	random	96x192,192x384,384x768	1
23	0.000745	33.138546	0.900867	127.72	0.00019975	random	96x192,192x384,384x768	1
24	0.000714	32.658529	0.902069	123.70	0.00019973	random	96x192,192x384,384x768	1
25	0.000753	33.126022	0.903197	126.70	0.00019971	random	96x192,192x384,384x768	1
26	0.000742	33.324765	0.903999	119.03	0.00019968	random	96x192,192x384,384x768	1
27	0.000688	32.123564	0.902975	124.76	0.00019966	random	96x192,192x384,384x768	1
28	0.000750	32.914261	0.905306	122.72	0.00019963	random	96x192,192x384,384x768	1
29	0.000670	32.302197	0.905561	128.56	0.00019961	random	96x192,192x384,384x768	1
30	0.000683	33.080477	0.907287	125.55	0.00019958	random	96x192,192x384,384x768	1
31	0.000689	33.727952	0.908090	123.79	0.00019955	random	96x192,192x384,384x768	1
32	0.000643	31.851786	0.904452	129.19	0.00019952	random	96x192,192x384,384x768	1
33	0.000702	33.648870	0.907674	130.12	0.00019949	random	96x192,192x384,384x768	1
34	0.000645	33.545648	0.910513	125.70	0.00019946	random	96x192,192x384,384x768	1
35	0.000627	33.980409	0.909488	127.13	0.00019943	random	96x192,192x384,384x768	1
36	0.000597	33.262833	0.911097	125.25	0.00019939	random	96x192,192x384,384x768	1
37	0.000607	32.890378	0.912945	125.09	0.00019936	random	96x192,192x384,384x768	1
38	0.000636	33.051136	0.912790	128.62	0.00019932	random	96x192,192x384,384x768	1
39	0.000640	34.131571	0.914337	129.28	0.00019929	random	96x192,192x384,384x768	1
40	0.000563	34.284677	0.915297	122.74	0.00019925	random	96x192,192x384,384x768	1
41	0.000596	31.982885	0.912202	129.81	0.00019921	random	96x192,192x384,384x768	1
42	0.000603	33.630859	0.921467	125.71	0.00019917	random	96x192,192x384,384x768	1
43	0.000565	34.322370	0.916864	130.87	0.00019913	random	96x192,192x384,384x768	1
44	0.000585	33.076912	0.917052	126.30	0.00019909	random	96x192,192x384,384x768	1
45	0.000620	33.957743	0.918020	132.99	0.00019905	random	96x192,192x384,384x768	1
46	0.000551	34.493966	0.920773	126.53	0.00019901	random	96x192,192x384,384x768	1
47	0.000576	33.891603	0.915390	128.65	0.00019896	random	96x192,192x384,384x768	1
