epoch	loss	psnr	ssim	time_s	lr
0	0.008892	27.354604	0.816251	76.04	0.00020000
1	0.002192	28.930974	0.836605	58.46	0.00019995
2	0.001725	29.262340	0.820552	57.37	0.00019980
3	0.001497	30.091677	0.857255	51.57	0.00019955
4	0.001356	30.415424	0.866763	56.58	0.00019920
5	0.001343	29.602572	0.856241	56.16	0.00019875
6	0.001323	28.374241	0.865977	60.10	0.00019820
7	0.001236	30.738634	0.872863	61.01	0.00019756
8	0.001165	31.579147	0.867085	58.69	0.00019681
9	0.001187	30.649784	0.871798	56.42	0.00019597
10	0.001049	28.388492	0.865724	54.01	0.00019503
11	0.001058	31.269317	0.879815	56.10	0.00019400
12	0.000964	31.501761	0.878881	54.73	0.00019287
13	0.000946	31.494106	0.882780	57.02	0.00019165
14	0.000933	32.186661	0.885794	59.00	0.00019034
15	0.000902	32.159897	0.887987	60.44	0.00018894
16	0.000954	32.289507	0.889399	61.78	0.00018745
17	0.000912	32.373402	0.891320	55.09	0.00018587
18	0.000852	31.538104	0.892722	60.63	0.00018420
19	0.000846	31.868513	0.886983	56.70	0.00018246
20	0.000826	31.764411	0.892481	55.96	0.00018062
21	0.000847	32.371499	0.893932	57.15	0.00017871
22	0.000823	32.628725	0.895429	59.00	0.00017672
23	0.000780	31.417513	0.894425	61.96	0.00017465
24	0.000830	32.267927	0.896535	55.42	0.00017251
25	0.000785	32.334691	0.898646	56.81	0.00017030
26	0.000821	32.765726	0.897845	56.04	0.00016801
27	0.000787	33.077252	0.900383	60.67	0.00016566
28	0.000801	32.581979	0.901052	55.82	0.00016324
29	0.000776	32.841014	0.899308	56.76	0.00016076
30	0.000746	33.018436	0.899963	58.39	0.00015822
31	0.000795	30.165000	0.896749	56.22	0.00015562
32	0.000782	32.464071	0.900095	56.33	0.00015296
33	0.000709	33.138032	0.902729	59.12	0.00015025
34	0.000715	32.829973	0.902906	58.53	0.00014749
35	0.000749	33.171912	0.900896	54.76	0.00014468
36	0.000719	32.354323	0.904339	59.30	0.00014183
37	0.000708	33.149728	0.905053	57.80	0.00013894
38	0.000692	33.388009	0.904948	56.81	0.00013601
39	0.000676	33.266135	0.905688	59.81	0.00013304
40	0.000690	32.684372	0.902525	56.94	0.00013004
41	0.000678	33.185039	0.903645	57.95	0.00012701
42	0.000677	33.363990	0.907201	55.85	0.00012396
43	0.000661	33.489689	0.908606	54.93	0.00012088
44	0.000645	33.643569	0.907457	61.10	0.00011778
45	0.000659	33.478693	0.911422	59.30	0.00011466
46	0.000675	31.791115	0.908011	57.64	0.00011153
47	0.000645	33.523374	0.910129	58.52	0.00010839
48	0.000629	33.563684	0.907869	60.25	0.00010523
49	0.000633	33.692942	0.909499	62.61	0.00010208
50	0.000642	33.869586	0.910403	61.89	0.00009892
51	0.000620	33.609960	0.908532	54.93	0.00009577
52	0.000626	33.762161	0.908440	56.95	0.00009261
53	0.000615	33.740717	0.909162	59.95	0.00008947
54	0.000601	33.837229	0.908681	55.25	0.00008634
55	0.000603	33.859100	0.911616	56.62	0.00008322
56	0.000614	33.946292	0.911781	63.78	0.00008012
57	0.000595	33.871694	0.911075	52.57	0.00007704
58	0.000568	33.864900	0.910695	61.47	0.00007399
59	0.000577	33.707891	0.905753	55.49	0.00007096
60	0.000593	34.115347	0.915454	56.46	0.00006796
61	0.000582	34.083216	0.914565	57.41	0.00006499
62	0.000543	34.163228	0.915057	54.99	0.00006206
63	0.000562	34.055529	0.912746	57.47	0.00005917
64	0.000581	34.137262	0.912199	52.75	0.00005632
65	0.000555	34.085946	0.911592	63.92	0.00005351
66	0.000543	34.268072	0.915025	63.81	0.00005075
67	0.000551	34.077689	0.915003	62.38	0.00004804
68	0.000538	34.260125	0.914827	59.36	0.00004538
69	0.000556	34.371567	0.916907	59.42	0.00004278
70	0.000539	34.203104	0.916261	52.45	0.00004024
71	0.000545	34.200477	0.914937	56.93	0.00003776
72	0.000549	34.296049	0.915292	60.90	0.00003534
73	0.000547	34.296443	0.916702	58.01	0.00003299
74	0.000548	34.371732	0.916841	54.10	0.00003070
75	0.000517	34.437114	0.917598	60.39	0.00002849
76	0.000547	34.403691	0.917226	50.24	0.00002635
77	0.000524	34.445988	0.917825	62.78	0.00002428
78	0.000537	34.429004	0.918004	57.72	0.00002229
79	0.000517	34.393886	0.918579	57.34	0.00002038
80	0.000547	34.464927	0.918184	59.84	0.00001854
81	0.000530	34.453227	0.917274	58.42	0.00001680
82	0.000517	34.545164	0.918496	55.73	0.00001513
83	0.000530	34.488629	0.917507	59.08	0.00001355
84	0.000549	34.501932	0.917767	59.82	0.00001206
85	0.000540	34.529645	0.918113	53.84	0.00001066
86	0.000532	34.542744	0.918284	57.33	0.00000935
87	0.000508	34.546383	0.918132	59.51	0.00000813
88	0.000519	34.546251	0.917809	56.29	0.00000700
89	0.000501	34.523474	0.918067	58.56	0.00000597
90	0.000532	34.539048	0.917990	55.87	0.00000503
91	0.000493	34.547385	0.917652	55.59	0.00000419
92	0.000533	34.547957	0.917603	58.13	0.00000344
93	0.000518	34.539909	0.917568	57.11	0.00000280
94	0.000526	34.532950	0.917531	60.37	0.00000225
95	0.000515	34.530478	0.917546	55.39	0.00000180
96	0.000507	34.533593	0.917501	57.21	0.00000145
97	0.000518	34.537862	0.917659	57.38	0.00000120
98	0.000513	34.542087	0.917708	53.99	0.00000105
99	0.000516	34.542608	0.917597	56.36	0.00000100
