epoch	loss	psnr	ssim	time_s	lr
0	0.007434	27.576529	0.810312	115.68	0.00020000
1	0.002062	28.444534	0.830092	82.97	0.00019995
2	0.001751	29.822885	0.846117	79.90	0.00019980
3	0.001463	30.489848	0.857785	84.70	0.00019955
4	0.001311	30.283728	0.859411	79.63	0.00019920
5	0.001243	30.854262	0.865596	85.89	0.00019875
6	0.001158	30.827224	0.869598	89.61	0.00019820
7	0.001115	31.327273	0.871503	79.70	0.00019756
8	0.001165	30.982942	0.863180	85.00	0.00019681
9	0.001104	31.827332	0.872980	81.91	0.00019597
10	0.001004	31.496860	0.874481	83.16	0.00019503
11	0.000981	31.883404	0.880542	81.43	0.00019400
12	0.000976	31.470489	0.882882	79.56	0.00019287
13	0.000912	30.958285	0.881161	81.23	0.00019165
14	0.000903	31.486319	0.884362	82.72	0.00019034
15	0.000926	32.088679	0.887027	84.08	0.00018894
16	0.000877	31.751219	0.881897	87.14	0.00018745
17	0.000866	31.947525	0.886287	83.68	0.00018587
18	0.000830	31.772957	0.890390	77.67	0.00018420
19	0.000839	32.540470	0.894281	75.65	0.00018246
20	0.000839	32.757314	0.893761	82.87	0.00018062
21	0.000796	32.385091	0.893589	90.51	0.00017871
22	0.000818	32.607288	0.894488	82.32	0.00017672
23	0.000773	32.286808	0.894529	81.48	0.00017465
24	0.000784	32.731232	0.893744	81.53	0.00017251
25	0.000780	32.960114	0.897293	82.78	0.00017030
26	0.000743	33.038584	0.897777	83.32	0.00016801
27	0.000750	33.099625	0.901028	91.89	0.00016566
28	0.000746	32.820296	0.901379	83.47	0.00016324
29	0.000706	33.271301	0.901291	83.81	0.00016076
30	0.000700	32.786131	0.900447	81.55	0.00015822
31	0.000707	33.068366	0.898394	81.97	0.00015562
32	0.000701	33.265833	0.902935	80.37	0.00015296
33	0.000712	32.711133	0.898403	79.29	0.00015025
34	0.000659	33.599022	0.908040	82.01	0.00014749
35	0.000673	33.540915	0.905855	80.69	0.00014468
36	0.000672	33.728975	0.907946	83.61	0.00014183
37	0.000629	33.516593	0.905922	85.55	0.00013894
38	0.000654	33.625909	0.904757	80.51	0.00013601
39	0.000656	33.596061	0.904707	83.74	0.00013304
40	0.000631	33.595696	0.908978	82.39	0.00013004
41	0.000608	33.850100	0.910159	80.44	0.00012701
42	0.000595	33.816333	0.907162	81.04	0.00012396
43	0.000612	33.893530	0.909958	84.88	0.00012088
44	0.000597	33.660547	0.909088	77.52	0.00011778
45	0.000605	33.545493	0.909744	79.16	0.00011466
46	0.000560	33.811606	0.913240	88.43	0.00011153
47	0.000575	33.424334	0.912778	83.77	0.00010839
48	0.000584	34.050956	0.912417	83.99	0.00010523
49	0.000576	34.114763	0.912029	81.33	0.00010208
50	0.000564	34.062541	0.915672	84.17	0.00009892
51	0.000564	34.191207	0.914247	80.43	0.00009577
52	0.000549	33.649383	0.916209	74.76	0.00009261
53	0.000539	34.203560	0.917823	87.99	0.00008947
54	0.000553	34.097593	0.917127	94.41	0.00008634
55	0.000548	34.409235	0.919061	86.91	0.00008322
56	0.000527	34.271554	0.916086	85.45	0.00008012
57	0.000505	34.427842	0.918694	83.52	0.00007704
58	0.000514	34.471384	0.920050	82.36	0.00007399
59	0.000517	34.381495	0.917036	84.66	0.00007096
60	0.000518	34.590198	0.918365	83.17	0.00006796
61	0.000510	34.700719	0.921895	79.29	0.00006499
62	0.000517	34.525335	0.916305	82.75	0.00006206
63	0.000491	34.557182	0.916731	87.35	0.00005917
64	0.000496	34.658551	0.919791	81.84	0.00005632
65	0.000476	34.680142	0.920723	84.09	0.00005351
66	0.000504	34.569930	0.919735	84.07	0.00005075
67	0.000490	34.810216	0.920726	83.86	0.00004804
68	0.000485	34.602047	0.917947	76.62	0.00004538
69	0.000495	34.711082	0.918653	71.52	0.00004278
70	0.000485	34.726257	0.919556	83.67	0.00004024
71	0.000471	34.776216	0.920877	87.63	0.00003776
72	0.000484	34.801679	0.920860	80.73	0.00003534
73	0.000493	34.820382	0.921003	84.98	0.00003299
74	0.000478	34.853901	0.920798	78.65	0.00003070
75	0.000486	34.816794	0.922237	85.85	0.00002849
76	0.000460	34.848519	0.921704	91.09	0.00002635
77	0.000481	34.944915	0.921942	82.90	0.00002428
78	0.000462	34.955167	0.923042	82.36	0.00002229
79	0.000474	34.938292	0.922114	84.14	0.00002038
80	0.000459	35.019356	0.923515	77.64	0.00001854
81	0.000472	34.958759	0.921420	82.93	0.00001680
82	0.000470	34.996380	0.921301	79.03	0.00001513
83	0.000473	34.932311	0.921516	82.46	0.00001355
84	0.000468	34.973178	0.922326	82.27	0.00001206
85	0.000458	34.995993	0.922137	84.37	0.00001066
86	0.000464	34.993911	0.922521	85.68	0.00000935
87	0.000452	34.986272	0.922047	88.00	0.00000813
88	0.000455	35.027086	0.922839	80.05	0.00000700
89	0.000467	35.047782	0.922825	85.64	0.00000597
90	0.000460	35.039412	0.923056	78.85	0.00000503
91	0.000466	35.031111	0.922729	91.31	0.00000419
92	0.000460	35.058199	0.922976	85.94	0.00000344
93	0.000448	35.056720	0.923204	78.61	0.00000280
94	0.000441	35.045166	0.922972	79.17	0.00000225
95	0.000464	35.045370	0.922992	85.87	0.00000180
96	0.000457	35.041988	0.922797	83.55	0.00000145
97	0.000477	35.037269	0.922830	71.28	0.00000120
98	0.000474	35.041000	0.922819	85.87	0.00000105
99	0.000464	35.052072	0.922932	85.20	0.00000100
