epoch	loss	psnr	ssim	time_s	lr
0	0.008983	26.397410	0.818583	81.60	0.00020000
1	0.002720	28.432453	0.835675	62.03	0.00019995
2	0.001667	29.356639	0.841339	60.73	0.00019980
3	0.001485	30.604260	0.863161	58.10	0.00019955
4	0.001361	29.037185	0.823157	58.34	0.00019920
5	0.001334	29.514306	0.866234	58.92	0.00019875
6	0.001317	31.043822	0.863653	58.36	0.00019820
7	0.001232	29.673406	0.842774	62.06	0.00019756
8	0.001118	31.101609	0.875529	59.92	0.00019681
9	0.001055	30.762589	0.875677	61.58	0.00019597
10	0.001099	31.784721	0.875333	59.12	0.00019503
11	0.001069	31.459658	0.873247	64.30	0.00019400
12	0.000960	31.012379	0.880595	66.21	0.00019287
13	0.001034	31.546812	0.872642	63.77	0.00019165
14	0.000949	32.016759	0.879214	63.29	0.00019034
15	0.000957	31.941530	0.881723	59.30	0.00018894
16	0.000900	31.544157	0.877322	61.19	0.00018745
17	0.000898	31.152750	0.883010	58.83	0.00018587
18	0.000938	31.567930	0.887324	60.20	0.00018420
19	0.000828	32.422009	0.889533	65.91	0.00018246
20	0.000884	32.292499	0.889672	56.12	0.00018062
21	0.000824	32.278914	0.887897	60.83	0.00017871
22	0.000815	32.419578	0.884286	60.38	0.00017672
23	0.000807	32.206208	0.889041	61.68	0.00017465
24	0.000825	32.338073	0.894177	63.45	0.00017251
25	0.000810	32.704440	0.888356	60.70	0.00017030
26	0.000782	32.960192	0.895759	59.54	0.00016801
27	0.000835	31.646156	0.891366	58.96	0.00016566
28	0.000782	32.674905	0.891707	60.20	0.00016324
29	0.000757	32.792155	0.898355	57.80	0.00016076
30	0.000737	32.221704	0.898866	59.24	0.00015822
31	0.000721	32.745730	0.899919	58.44	0.00015562
32	0.000756	32.397299	0.899708	64.40	0.00015296
33	0.000730	32.879112	0.893658	62.03	0.00015025
34	0.000710	33.094644	0.900690	58.47	0.00014749
35	0.000686	33.174462	0.903827	57.00	0.00014468
36	0.000718	33.118359	0.905240	61.17	0.00014183
37	0.000715	33.127284	0.902958	57.31	0.00013894
38	0.000684	32.765591	0.897504	59.06	0.00013601
39	0.000704	33.319191	0.904030	61.65	0.00013304
40	0.000649	33.417683	0.904493	64.54	0.00013004
41	0.000660	33.437452	0.907598	60.18	0.00012701
42	0.000661	33.328279	0.903009	62.17	0.00012396
43	0.000648	33.271969	0.905760	59.88	0.00012088
44	0.000672	33.752203	0.908730	52.82	0.00011778
45	0.000632	33.610702	0.909148	64.17	0.00011466
46	0.000640	32.759812	0.897602	58.92	0.00011153
47	0.000657	33.460835	0.907103	64.26	0.00010839
48	0.000610	33.941303	0.911687	62.41	0.00010523
49	0.000602	33.481445	0.911375	63.67	0.00010208
50	0.000619	33.541834	0.909231	61.46	0.00009892
51	0.000597	33.735931	0.912814	61.02	0.00009577
52	0.000568	33.654037	0.909749	62.31	0.00009261
53	0.000599	34.043120	0.910384	67.86	0.00008947
54	0.000588	33.422486	0.906399	62.58	0.00008634
55	0.000585	33.966037	0.911933	63.29	0.00008322
56	0.000570	33.773670	0.910549	66.30	0.00008012
57	0.000585	33.823454	0.912809	60.62	0.00007704
58	0.000549	33.977718	0.911164	60.91	0.00007399
59	0.000565	34.059646	0.912733	61.96	0.00007096
60	0.000554	33.791674	0.910727	64.31	0.00006796
61	0.000529	34.106478	0.911618	64.48	0.00006499
62	0.000546	34.151061	0.913792	63.09	0.00006206
63	0.000551	34.138564	0.913345	59.35	0.00005917
64	0.000545	34.044399	0.914343	62.14	0.00005632
65	0.000562	34.246225	0.915679	63.66	0.00005351
66	0.000528	34.291118	0.914997	59.56	0.00005075
67	0.000541	34.245170	0.915629	56.60	0.00004804
68	0.000536	34.223132	0.915837	58.13	0.00004538
69	0.000542	34.303540	0.913712	68.39	0.00004278
70	0.000507	34.411430	0.915941	61.26	0.00004024
71	0.000515	34.350887	0.915483	65.08	0.00003776
72	0.000522	34.246464	0.914873	57.11	0.00003534
73	0.000507	34.455555	0.915745	74.01	0.00003299
74	0.000529	34.306183	0.913845	71.58	0.00003070
75	0.000498	34.373749	0.914200	73.19	0.00002849
76	0.000499	34.418154	0.916379	65.65	0.00002635
77	0.000504	34.370597	0.915019	69.02	0.00002428
78	0.000496	34.540600	0.917484	64.70	0.00002229
79	0.000512	34.491707	0.916287	68.66	0.00002038
80	0.000510	34.559491	0.917645	61.42	0.00001854
81	0.000500	34.559803	0.917828	68.73	0.00001680
82	0.000508	34.582939	0.919059	72.12	0.00001513
83	0.000506	34.632210	0.919686	68.33	0.00001355
84	0.000512	34.620361	0.919341	67.67	0.00001206
85	0.000484	34.628758	0.919409	69.17	0.00001066
86	0.000493	34.653973	0.918450	61.53	0.00000935
87	0.000480	34.644281	0.918798	64.88	0.00000813
88	0.000484	34.622923	0.918371	61.66	0.00000700
89	0.000482	34.596097	0.918400	62.85	0.00000597
90	0.000489	34.630316	0.918403	61.69	0.00000503
91	0.000493	34.629311	0.918001	67.22	0.00000419
92	0.000496	34.625902	0.918238	61.95	0.00000344
93	0.000493	34.638330	0.918047	62.77	0.00000280
94	0.000469	34.645646	0.918118	63.36	0.00000225
95	0.000485	34.651177	0.918263	58.63	0.00000180
96	0.000471	34.642354	0.918103	59.62	0.00000145
97	0.000491	34.646780	0.918183	58.41	0.00000120
98	0.000476	34.646952	0.918235	63.24	0.00000105
99	0.000488	34.647104	0.918212	58.46	0.00000100
