epoch	loss	psnr	ssim	time_s	lr	crop_mode	crop_size	batch_size
0	0.006273	28.017674	0.829013	75.03	0.00020000	random	96x192,192x384,384x768	1
1	0.001795	29.310007	0.853225	67.40	0.00020000	random	96x192,192x384,384x768	1
2	0.001515	29.982462	0.865572	78.65	0.00020000	random	96x192,192x384,384x768	1
3	0.001408	30.904211	0.867154	72.92	0.00020000	random	96x192,192x384,384x768	1
4	0.001179	31.065692	0.875050	69.44	0.00019999	random	96x192,192x384,384x768	1
5	0.001069	31.430062	0.878038	63.41	0.00019999	random	96x192,192x384,384x768	1
6	0.001079	31.813472	0.880316	68.45	0.00019998	random	96x192,192x384,384x768	1
7	0.001031	30.346054	0.882232	69.51	0.00019998	random	96x192,192x384,384x768	1
8	0.000984	31.815297	0.882511	71.45	0.00019997	random	96x192,192x384,384x768	1
9	0.001033	32.357976	0.885756	66.04	0.00019996	random	96x192,192x384,384x768	1
10	0.000903	32.267575	0.883922	67.35	0.00019995	random	96x192,192x384,384x768	1
11	0.000901	31.958449	0.882770	72.13	0.00019994	random	96x192,192x384,384x768	1
12	0.000909	31.859407	0.887891	64.22	0.00019993	random	96x192,192x384,384x768	1
13	0.000866	32.267532	0.891738	71.92	0.00019992	random	96x192,192x384,384x768	1
14	0.000848	31.743077	0.892195	68.74	0.00019990	random	96x192,192x384,384x768	1
15	0.000809	32.890433	0.887997	62.60	0.00019989	random	96x192,192x384,384x768	1
16	0.000901	29.366173	0.885771	67.57	0.00019987	random	96x192,192x384,384x768	1
17	0.000888	32.771586	0.893101	69.01	0.00019986	random	96x192,192x384,384x768	1
18	0.000772	32.994994	0.894155	63.21	0.00019984	random	96x192,192x384,384x768	1
19	0.000774	31.621691	0.893789	68.94	0.00019982	random	96x192,192x384,384x768	1
20	0.000754	32.798381	0.893304	67.05	0.00019980	random	96x192,192x384,384x768	1
21	0.000808	32.753493	0.894907	63.86	0.00019978	random	96x192,192x384,384x768	1
22	0.000756	32.359857	0.898181	70.75	0.00019976	random	96x192,192x384,384x768	1
23	0.000764	32.769418	0.896782	73.65	0.00019974	random	96x192,192x384,384x768	1
24	0.000735	32.673787	0.899694	74.78	0.00019972	random	96x192,192x384,384x768	1
25	0.000744	32.610512	0.896474	71.93	0.00019969	random	96x192,192x384,384x768	1
